구분,항목,단위,2014.01 월,2014.02 월,2014.03 월,2014.04 월,2014.05 월,2014.06 월,2014.07 월,2014.08 월,2014.09 월,2014.10 월,2014.11 월,2014.12 월,2015.01 월,2015.02 월,2015.03 월,2015.04 월,2015.05 월,2015.06 월,2015.07 월,2015.08 월,2015.09 월,2015.10 월,2015.11 월,2015.12 월,2016.01 월,2016.02 월,2016.03 월,2016.04 월,2016.05 월,2016.06 월,2016.07 월,2016.08 월,2016.09 월,2016.10 월,2016.11 월,2016.12 월,2017.01 월,2017.02 월,2017.03 월,2017.04 월,2017.05 월,2017.06 월,2017.07 월,2017.08 월,2017.09 월,2017.10 월,2017.11 월,2017.12 월,2018.01 월,2018.02 월,2018.03 월,2018.04 월,2018.05 월,2018.06 월,2018.07 월,2018.08 월,2018.09 월,2018.10 월,2018.11 월,2018.12 월,2019.01 월,2019.02 월,2019.03 월,2019.04 월,2019.05 월,2019.06 월,2019.07 월,2019.08 월,2019.09 월,2019.10 월,2019.11 월,2019.12 월,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월,2022.07 월,2022.08 월,2022.09 월,2022.10 월,2022.11 월,2022.12 월,2023.01 월,2023.02 월,2023.03 월,2023.04 월,2023.05 월,2023.06 월,2023.07 월,2023.08 월,2023.09 월,2023.10 월,2023.11 월,2023.12 월,Unnamed: 123
양주,월평균,,.014,0.019,0.026,0.034,0.045,0.033,0.042,0.033,0.026,0.02,.017,.016,0.017,0.025,.031,.035,0.04,0.054,.039,0.039,.036,.027,.02,.015,.025,.023,.03,.036,.044,.04,.029,.034,.033,.025,.022,.016,.022,0.026,0.022,0.044,0.051,0.051,.039,.031,0.031**,.025,.019,.014,.019,.03,.039,.045,.047,.051,0.03,.039,.032,.022,.016,.017,.019,.029,0.04,.04,0.055,.044,.036,.031,0.028,.023,.016,.014,.018,.022,.03,.038,.04,.048,.033,.028,.029,.024,.018,.015,.016,.027,.032,.043,.041,.045,.039,.03,.029,.023,.022,.017,.02,.032,.034,.046,.049,.04,.036,.03,.028,.022,.019,.017,0.0177,.0229,.034,.0356,.0398,.0443,.0322,.027,.0246,.022,0.0223**,0.0187*,
동두천,월평균,,.015,0.024,0.026,0.048,0.054,0.047,0.044,0.033,0.029,0.022,.018,.014,0.014,0.02,.03,.041,0.05,0.053,.037,0.034,.032,.025,.018,.01,.013,.017,.024,.033,.04,.037,.03,.031,.032,.024,.018,.014,.023,0.022,0.024,0.041,0.046,0.047,.036,0.039**,.028,.021,.015,.013,.019,.026,.039,.048,.047,.052,0.03,.036,.027,.022,.016,.014,.015,.025,0.033,.039,0.054,.044,.04,.035,0.026,.023,.017,.014,.018,.024,.032,.04,.04,.042,.028,.022,.028,.022,.016,.014,.016,.025,.034,.04,.041,.041,0.038*,.029,.03,.025,.02,.015,.016,.023,.03,.045,.046,.038,.032,.027,.027,.023,.018,.015,0.016,,.0355,.0381,.0427,.044,.0346,.0302,.0271,.0244,.023,.0186,
안성,월평균,,.01,0.02,0.029,0.037,0.046,0.039,0.031,0.024,0.025,0.02,.013,.011,0.012,0.02,.028,.034,0.041,0.039,.028,0.029,.029,.024,.013,.008,.012,.018,.027,.037,.044,.039,.028,.034,.025,.017,.014,.01,.028,0.02,0.025,0.038,0.042,0.044,.028,.024,.026,.02,.015,.012,.013,.021,.031,.034,.036,.039,0.028,0.031*,.023,.024,.015,.014,.016,.024,0.038,.04,0.058,.052,.036,.034,0.028,.025,.018,.014,.018,.023,.033,.044,.042,.052,.033,.023,.031,.024,.018,.015,.019,.027,.034,.045,.043,.046,.035,.033,.031,.023,.02,.015,.016,.028,.03,.044,.053,.042,.038,.03,.03,.024,.02,.015,0.0183,.0238,.0367,.0404,.0447,.0505,.035,.0329,.0313,.0247,.0228,.0196,
이천,월평균,,.01,0.016,0.031,0.036,0.047,0.043,0.036,0.029,0.025,0.019,.013,.013,0.013,0.02,.026,.032,0.043,0.047,.032,0.031,.029,.021,.016,.01,.013,.019,.028,.038,.041,.04,.026,0.031*,.029,.017,.013,.01,.031,0.02,0.028,0.041,0.046,0.05,.033,.027,.025,.018,.012,.01,.013,.018,.03,.037,.038,.04,0.031,.03,.026,.016,.011,.011,.011,.019,0.032,.037,0.056,.048,.037,.033,0.024,.02,.013,.01,.016,.023,.034,.046,.043,.055,.033,.025,.03,.022,.016,.013,.017,.025,.032,.044,.046,.05,.038,.035,.031,.022,.018,.015,.015,.027,.03,.044,.051,.041,.036,.03,.027,.017,.014,.012,0.0153,.0224,.0334,.039,.0452,.0513,.0362,.0332,.0318,.021,.0208,.0164,
파주,월평균,,.012,0.022,0.029,0.038,0.05,0.043,0.04,0.031,0.028,0.02,.015,.013,0.015,0.024,.031,.039,0.047,0.052,.039,0.033,.028,.023,.017,.013,.018,.021,.028,.037,.046,.042,.029,.031,.029,.02,.016,.012,.029,0.021,0.03,0.04,0.045,0.044,.032,.026,.028,.021,.015,.013,.018,.021,.03,.035,.039,.038,0.021,.03,.026,.019,.013,.014,.014,.022,0.03,.033,0.048,.046,.035,.036,0.025,.023,.014,.014,.019,.024,.032,.039,.041,.045,.032,.021,.029,.023,.017,.016,.017,.025,.03,.041,.042,.044,.039,.032,.029,.023,.019,.015,.018,.027,.03,.043,.047,.036,.034,.028,.029,.022,.018,.016,0.0176,.0243,0.0363*,0.0400*,0.0431*,0.0465*,0.0351*,0.0289*,.0279,.0243,0.0256*,.0201,
포천,월평균,,.015,0.025,0.032,0.038,0.047,0.043,0.039,0.03,0.026,0.022,.017,.019,0.025,0.034,.041,.049,0.061,0.063,.042,0.046,.038,.031,.02,.012,.015,.019,.024,.029,0.049**,.051,.034,.035,.03,.024,.018,.014,.023,0.025,0.023,0.045,0.05,0.053,.039,.031,.032,.024,.019,.015,.021,.029,.036,.044,.046,.046,0.027,.032,.028,.024,.018,.017,.018,.025,0.034,.04,0.056,.045,.036,.032,0.027,.025,.02,.017,.021,.027,.036,.043,.037,.042,.03,.022,.028,.024,.02,.017,.019,.025,.029,.041,.041,.042,.034,.031,.029,.024,.023,.018,.021,.031,.033,.043,.048,.037,.031,.031,.028,.023,.021,.02,0.0206,.0262,.0382,.0398,.0452,.0444,.0341,.0284,.0268,.0261,.0281,.0237,
여주,월평균,,.009,0.018,0.027,0.036,0.049,0.042,0.037,0.028,0.023,0.016,.011,.01,0.01,0.016,.025,.032,0.042,0.047,.032,0.029,.026,.019,.014,.009,.011,.019,.026,.041,.046,.047,.03,.043,.027,.016,.012,.008,.032,0.015,0.029,0.036,0.043,0.046,.026,.022,.022,.015,.011,.009,.011,.016,.027,.035,.034,.042,0.036,.032,.025,.017,.011,.01,.011,.017,0.031,.033,0.05,.047,.037,.034,0.022,.016,.01,.007,.015,.02,.029,.041,.042,.056,.035,.028,.03,.021,.015,.014,.017,.024,.032,.042,.041,.045,0.038*,.032,.028,.021,.017,.014,.014,.028,.03,.045,.053,.042,.038,.033,.027,.02,.014,.012,0.0152,.0211,.0321,.0369,.0423,.0474,.0378,.0356,.0282,.0194,.0199,.0136,
연천,월평균,,.016,0.03,0.037,0.043,0.051,0.041,0.039,0.029,0.027,0.024,.02,.016,0.019,0.023,.035,.038,0.047,0.049,.034,0.031,.028,.024,.022,.014,.018,.024,.031,.041,.045,.041,.026,.023,.027,.021,.019,.015,.014,0.023,0.013,0.045,0.048,0.047,.038,.028,.029,.024,.018,.013,.018,.024,.034,.041,.043,.038,0.021,.029,.028,.021,.017,.017,.017,.025,0.034,.04,0.055,.044,.04,.034,0.023,.023,.018,.015,.019,.027,.033,.039,.04,.043,.028,.023,.024,.019,.016,.015,.017,.029,.035,.043,.038,.038,.029,.027,.025,.021,.02,.016,0.018**,0.031**,.03,,0.048*,0.038*,.028,0.024*,.025,.021,.019,.019,0.0201,.0247,.0352,.0374,.0418,.0407,.0313,.024,.0213,.0215,.0225,.0222,
가평,월평균,,.015,0.026,0.035,0.042,0.045,0.039,0.035,0.026,0.024,0.021,.018,.018,0.018,0.023,.034,.038,0.038,0.038,.025,0.026,.022,.017,.014,.011,.015,.023,.032,.039,.043,.041,.031,.031,.027,.022,.019,.014,.019,0.026,0.018,0.038,0.041,0.045,.034,.026,.028,.022,.019,.018,.021,.026,.034,.043,.038,.042,0.027,.03,.024,.02,.017,.016,.017,.024,0.034,.038,0.051,.042,0.036*,.028,0.023,.021,.016,.014,.02,.026,.032,.039,.033,.043,.026,.021,.022,.019,.016,.016,.02,.028,.034,.039,.034,.034,.027,.027,0.024*,0.018**,0.019**,.016,.017,.03,.031,.044,.047,.035,.026,.028,.022,.018,.017,.017,0.0171,.0238,.036,.0387,.0438,.0413,.0314,.0273,.0227,.0183,.0213,.0188,
양평,월평균,,.013,0.025,0.028,0.035,0.046,0.042,0.04,0.032,0.03,0.027,.018,.015,0.015,0.019,.026,.032,0.042,0.043,.032,0.032,.03,.022,.018,.013,.016,.021,.029,.042,.048,.047,.029,.033,.028,.02,.015,.012,.021,0.022,0.021,0.04,0.045,0.048,.027,.023,.026,.02,.015,.012,.014,.02,.03,.038,.038,.042,0.03,.027,.024,.018,.014,.015,.013,.022,0.031,.034,0.05,.042,.031,.027,0.023,.021,.016,.012,.017,.022,.031,.041,.039,.049,.03,.02,.027,.022,.016,.014,.018,.024,.032,.04,.036,.038,.029,.028,0.024**,.021,.018,.015,.017,.03,.031,.043,.05,.038,.032,.029,.026,.022,.018,.015,0.0175,.0239,.0348,.0384,.0435,.0446,.0327,.0291,.0255,.0212,.0207,.0176,
도평균,월평균,,.011,0.017,0.026,0.031,0.042,0.038,0.035,0.027,0.024,0.018,.014,.013,0.013,0.019,.024,.03,0.037,0.042,.031,0.031,.027,.02,.013,.01,.014,.019,.025,.032,.041,.039,.027,.032,.028,.018,.014,.011,.033,0.019,0.034,0.035,0.039,0.041,.03,.025,.026,.019,.014,.012,.014,.02,.028,.034,.037,.038,0.025,.03,.026,.018,.012,.013,.013,.019,0.03,.032,0.048,.042,.034,.033,0.024,.021,.014,.012,.015,.021,.03,.04,.039,.048,.033,.023,.029,.022,.017,.015,.016,.024,.029,.04,.04,.043,.037,.033,.03,.022,.018,.014,.016,.027,.029,.043,.049,.038,.036,.03,.03,.022,.018,.015,0.0166,.0219,.0341,.0386,.0422,.0478,.0365,.033,.03,.0247,.0229,.0186,
양구,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007*,.02,0.035,.039,0.052,.04,.031,.024,0.02,.022,.018,.019,.02,.028,.035,.044,.037,.043,.027,.02,.026,.024,.021,.02,.023,.031,.039,.045,.039,.037,.026,.027,.026,.025,.027,.022,.023,.037,.041,.054,.057,.041,.025,.025,.023,.022,.024,.022,0.0226,.0298,.0424,.0449,.0465,.0425,0.0330**,.024,.0241,.0238,.0256,.0235,
고성,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.024,.026,.034,0.04,.041,0.057,.04,.036,.029,0.023,.026,.026,.027,.028,.036,.039,.046,.044,.045,.027,.026,.029,.03,.03,.032,.031,.035,.037,.041,.044,.035,.026,.026,.025,.029,.032,.031,.033,.04,.041,.049,.058,.043,.023,.025,.024,.028,.031,.033,0.0355,.0391,.046,.0449,.0483,.0457,.0356,.0249,.0273,.0376,.0367,.0362,
정선,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.023,.032,0.044,.044,0.06,.046,.033,.031,0.025,.029,.024,.024,.026,.032,.044,.052,.045,.053,.03,.025,.034,.03,.029,.028,.03,.037,.041,.047,.041,.041,.029,.027,.029,.026,.026,.025,.028,.04,.039,.05,.056,.042,.028,.027,.026,.023,.025,.024,0.0255,.0328,.0427,.0444,.044,.0427,.0293,.0265,.0258,.0259,.0293,.0261,
횡성,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.014,.016,.015,0.026,.038,0.051,.038,.028,.026,0.02,.018,.013,.009,.014,.019,.027,.033,.032,.041,.025,.019,.023,.019,.014,.012,.015,.023,.029,.036,.033,.034,.028,.025,.024,.019,.017,.015,.016,.03,.033,.047,.052,.043,.032,.029,.028,.021,.02,.016,0.0198,.0273,.0397,.0434,.0472,.0469,.0318,0.0280*,0.0254**,0.0210**,0.0205**,.0204,
춘천,월평균,,.013,0.025,0.035,0.042,0.052,0.045,0.038,0.029,0.024,0.018,.014,0.014*,0.013,0.02,.03,.038,0.048,0.05,.032,0.033,.028,.022,.017,0.012*,0.016**,0.021**,0.029**,0.043**,0.048**,0.047**,0.031**,0.030**,0.027**,0.020**,0.014**,0.011**,0.023**,0.019,0.018,0.035,0.04,0.052,.035,.024,.025,.019,.016,.013,.017,.024,.034,.043,.049,.049,0.028,.028,.025,.017,.012,.011,.015,.022,0.032,.037,0.054,.044,.036,.03,0.023,.021,.013,.013,.016,.023,.032,.042,.038,.049,.031,.022,0.027*,0.022*,.017,.015,.019,.027,.034,.041,.037,.038,.03,.031,.029,.021,.019,.017,.019,.034,.036,.051,.055,.042,.031,.031,.029,.029,.019,.018,0.0188,.0268,.0398,.0431,.0483,.0453,0.0331*,0.0294*,0.0273*,0.0245*,0.0242*,0.0231*,
강릉,월평균,,.02,0.012,0.027,0.038,0.043,0.032,0.036,0.029,0.027,0.027,.022,0.024**,0.022,0.025,.032,.037,0.046,0.039,.027,0.033,.026,.031,.022,.021,.026,.029,.034,.042,.048,.039,.026,.026,.024,.023,.023,.022,.011,0.031,0.015,0.048,0.052,0.042,.033,.022,.034,.026,.029,.025,.027,.03,.038,.044,.046,.048,0.033,.025,.027,0.033**,.028,.024,.029,.034,0.046,.042,0.059,.045,.038,.034,0.028,0.026*,,.028,.028,.033,.039,.047,.042,.047,.029,.026,.035,.037,.033,.033,.031,.037,.04,.046,.048,.04,.03,.032,.029,.034,.035,.031,.03,.041,.045,.052,.058,.04,.029,.028,.027,.021,.033,.032,0.0338,.0361,.0445,.044,.0459,.0459,.0351,.0293,.0312,.0386,.0363,.0343,
원주,월평균,,.009,0.017,0.025,0.034,0.051,0.044,0.039,0.028,0.025,0.017,.011,.011,0.01,0.018,.025,.032,0.046,0.047,.031,0.03,.024,.02,.012,.007,.011,.018,.022,.037,.043,.044,.027,.033,.024,.015,.011,.008,.031,0.017,0.025,0.037,0.048,0.053,.029,.023,.026,.017,.013,.011,.013,.018,.029,.038,.038,.044,0.032,.032,.026,0.017*,.012,.011,.012,.018,0.032,.035,0.054,.048,.034,.031,0.023,.02,.015,.011,.015,.023,.032,.042,0.038*,0.049*,.027,.02,.025,.019,.015,.012,.015,.022,.028,.041,.038,.042,.031,.028,.025,.021,.019,.015,.015,.029,.031,.045,.052,.041,.034,.028,.027,.028,.018,.015,0.0169,.0244,.0372,.0402,.0443,.047,.0319,.03,.03,.0239,.0228,.019,
동해,월평균,,.023,0.025,0.034,0.039,0.048,0.033,0.03,0.026,0.023,0.022,.018,.022,0.021,0.024,.03,.035,0.042,0.034,.025,0.028,.023,.026,.021,.018,.023,.026,.03,.033,.042,.036,.023,.024,.022,.02,.022,.02,.016,0.032,0.018,0.047,0.05,0.039,.029,0.018*,0.034**,.023,.024,.026,.028,.033,.041,.045,.044,.043,0.028,.023,.026,.028,.023,.023,.027,.032,0.044,.04,0.051,.039,.032,.03,0.02,.022,0.021*,.02,.022,.026,.03,.037,.032,.033,.021,.017,.026,.025,.022,.025,.022,.026,.027,.033,.036,.029,.022,.025,.026,.027,.034,.03,.029,0.043*,.041,.05,.056,.039,.03,.028,.028,.028,.03,.031,0.0309,.0309,.041,.0433,.044,.0441,.032,.0292,.0319,.0371,.0345,.031,
삼척,월평균,,.023,0.026,0.039,0.045,0.049,0.035,0.034,0.027,0.026,0.028,.021,.023,0.023,0.028,.035,.042,0.048,0.037,.026,0.032,.017,.028,.022,.021,.026,.029,.036,.043,.048,.037,.024,.026,.024,.021,.021,.02,.019,0.03,0.013,0.051,0.051,0.039,.033,.019,0.039**,.023,.025,.024,.026,.03,.04,.044,.045,.044,0.03,.023,.024,.028,.021,.021,.027,.031,0.044,.04,0.053,.037,.032,.03,0.019,.019,.021,.021,.022,.026,.031,.037,.033,.035,.022,.018,.027,.026,.023,.023,.022,.026,.028,.034,.037,.029,.024,.025,.027,.029,.029,.024,.028,.039,.04,.048,.058,.039,.027,.028,.022,.022,.031,.03,0.032,.0354,.045,.0469,.0462,.0462,.0318,.0186,.0162,.0257,.0272,.0265,
평창,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.019,.027,.036,.044,.041,.046,0.027,.027,.025,.022,.016,.015,.017,.026,0.04,.04,0.056,.042,.028,.025,0.02,.022,.019,.015,.02,.027,.035,.044,.037,.046,.027,.021,.027,.026,.024,.021,.022,.03,.035,.042,.037,.038,.028,.025,.025,.024,.023,.02,.021,.033,.036,.045,.05,.039,.026,.023,.031,0.023*,.021,.019,0.0205,.0294,.0385,.0403,.0428,.0392,.0258,.0246,.0236,.0225,.023,.0208,
양양,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.035,.037,0.044,.04,0.055,.044,.039,.035,0.03,.033,.032,.034,.032,.036,.038,.046,.042,.044,.029,.029,.036,.034,.032,.033,.034,.037,.039,.043,.046,.038,.034,.04,.035,.041,.042,.035,.033,.04,.041,.048,.055,.041,.03,.035,.028,.026,0.029*,.029,0.0316,.0323,.0445,.0469,.0505,.0493,.0431,.0348,.0347,.0475,.044,.041,
속초,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034*,.038,0.05,.049,0.064,.049,.039,.034,0.028,.03,.025,.026,.029,.032,.039,.046,.045,.046,.03,.028,.034,.032,.029,.03,.028,.032,.033,.035,.036,.036,.031,.034,.031,.03,.027,.027,.026,.035,.038,.047,.054,.038,.029,.031,.021,.019,.03,.029,0.0292,.0314,.0423,.0432,.0443,.0451,.0364,.0286,.0299,.0343,.0299,.028,
영월,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.017,.028,0.039,.042,0.058,.047,.033,.031,0.025,.023,.018,.014,.019,.027,.036,.046,.041,.049,.029,.019,.029,.025,.02,.019,.023,.031,.037,.044,.036,.039,.027,.026,.025,.021,.022,.018,.019,.033,.036,.046,.053,.041,.027,.022,.028,.024,.018,.015,0.0182,.0253,.0345,.036,.0378,.0388,.0239,.0275,.0284,.0213,.0192,.0179,
철원,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.023,.032,0.043,.047,0.063,.053,.04,.033,0.029,.03,.023,.021,.025,.031,.039,.048,.047,.051,.034,.026,.033,.028,.024,.021,.025,.035,.04,.05,.04,.043,.034,.034,.033,.029,.029,.024,.027,.039,.042,.053,.054,.038,.027,.027,.023,.019,.025,.022,0.0222,.0278,.0383,.0405,.0457,.0444,.0361,.0283,.0262,.0272,.0289,.0263,
홍천,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.022,0.032,.037,0.053,.043,.031,.026,0.02,.016,.012,.01,.013,.021,.029,.038,.033,.046,.029,.022,.025,.019,.015,.012,.017,.026,.032,.039,.035,.035,.028,.026,.025,.019,.017,.016,.015,.031,.034,.05,.055,.04,.029,.027,.022,.02,.016,.013,0.0134,.0198,.0316,.0348,.039,.0384,.0272,.0249,.0229,.0178,.0173,.0158,
화천,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.014,0.031,.04,0.054,.041,.03,.022,0.019,.022,.018,.015,.02,.026,.036,.044,.039,.042,.025,0.016**,.025,.023,.02,.018,.02,.028,.036,.043,.037,.034,.025,.026,.024,.02,.022,.018,.02,.031,.035,.046,.049,.034,.023,.023,.025,.026,.02,.02,0.0188,.0258,.0376,.041,.0422,.0361,.0242,.0186,.0186,.02,.0215,.021,
태백,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.038,0.049,.046,0.062,.046,.036,.031,0.025,.03,.029,.032,.03,.037,.044,.049,.045,.052,.028,.025,.036,.033,.034,.034,.034,.04,.04,.047,.048,.043,.028,.028,.03,.031,.031,.029,.029,.037,.043,.051,.055,.039,.027,.029,.028,.023,.029,.03,0.0319,.0349,.0453,.0473,.0453,.0455,.0349,.0284,.0305,.0327,.0372,.0333,
인제,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045*,0.057,.044,.034,.028,0.024,.026,.022,.023,.024,.029,.037,.045,.039,.045,.027,.022,.028,.025,.025,.027,.032,.037,.04,.045,.038,.036,.026,.026,.027,.024,.025,.022,.023,.035,.038,.05,.056,.041,.026,.029,.028,.025,.027,.026,0.0267,0.0337*,.0448,.0489,.0505,.0473,.0346,.0289,.029,.0285,.0338,.0282,
도평균,월평균,,.016,0.021,0.031,0.039,0.049,0.04,0.037,0.028,0.025,0.021,.016,.016,0.016,0.022,.029,.036,0.046,0.043,.029,0.031,.024,.024,.017,.014,.019,.024,.029,.039,.045,.041,.026,.029,.024,.019,.017,.015,.022,0.024,0.019,0.041,0.047,0.047,.032,.022,0.027*,.021,.02,.018,.02,.026,.035,.042,.044,.046,0.03,.027,.026,.021,.016,.016,.021,.027,0.038,.04,0.056,.044,.034,.03,0.023,.024,.02,.019,.021,.028,.035,.044,.039,.046,.028,.022,.029,.026,.022,.021,.023,.03,.035,.042,.039,.038,.029,.029,.027,.025,.025,.022,.022,.035,.037,.049,.054,.04,.029,.028,.026,.023,.024,.022,0.0236,.0293,.0405,.0427,.0454,.0446,.0323,.0276,.0275,.028,.0279,.0253,
괴산,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.024,0.036,.038,0.052,.043,.031,.027,0.021,.017,.016,.014,.018,.026,.036,.044,.043,.048,.029,.023,.028,.023,.019,.015,.019,.028,.034,.044,.038,.039,.027,.026,.025,.02,.019,.016,.018,.03,.034,.043,.049,.04,.029,.025,.024,.021,.018,.015,0.0176,.0221,.0348,.0387,.0404,.0454,.0287,.0276,.0253,.0226,.0223,.019,
음성,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.025,0.039,.041,0.06,.051,.035,.033,0.025,.022,.017,.013,.018,.026,.036,.044,.044,.05,.028,.021,.027,.023,.02,.017,.02,.029,.035,.045,.04,.041,.029,.028,.027,.022,.022,.018,.018,.031,.034,.046,.051,.043,.033,.028,.026,.022,.02,.016,0.0196,.0251,.0384,.0397,.0455,.0474,.0278,.026,.0261,.0239,.0252,.0211,
청주,월평균,,0.009*,0.019,0.026,0.035,0.049,0.043,0.034,0.026,0.026,0.02,.012,.012,0.012,0.019,.025,.029,0.041,0.046,.03,0.029,.029,.022,.013,.009,.013,.019,.024,.037,.045,.043,.03,.032,.027,.018,.013,.011,.026,0.021,0.024,0.039,0.043,0.05,.03,.026,.029,.021,.015,.013,.015,.023,.034,.037,.04,.041,0.026,.028,.029,.019,.012,.012,.013,.02,0.034,.034,0.048,.043,.029,.03,0.026,.022,.015,.011,.016,.022,.03,.042,.039,.04,.027,.02,.029,.024,.018,.015,.018,.027,.032,.044,.041,.046,.031,.031,.03,.023,.019,.016,.017,.028,.03,.043,.051,.041,.035,.027,.03,.025,.019,.014,0.0167,.0224,.0355,.0391,.0409,.0475,.0301,.0301,.0294,.0252,.023,.0198,
충주,월평균,,.012,0.021,0.029,0.038,0.051,0.047,0.037,0.027,0.025,0.017,.012,.012,0.009,0.022,.025,.032,0.047,0.047,.029,0.029,.025,.02,.012,.009,.013,.021,.026,.038,.042,.044,.029,.036,.025,.018,.013,.009,.031,0.02,0.028,0.04,0.045,0.05,.033,0.025**,.026,.017,.014,.011,.012,.02,.03,.034,.035,.04,0.029,.027,.026,.019,.012,.012,.015,.019,0.029,.033,0.045,0.034**,.033,.028,0.024,.021,.015,.01,.015,.022,.033,.044,.038,.046,.027,.021,.028,.023,.019,.016,.02,.028,.034,.044,.038,.044,.029,.029,.027,.022,.023,.016,.017,.029,.03,.042,.05,.041,.032,.027,.026,.021,.018,.015,0.0179,.0231,.0341,.0363,.042,.0448,.0296,.0294,.0274,.0217,.0225,.0192,
제천,월평균,,.011,0.017,0.023,0.033,0.055,0.039,0.034,0.023,0.02,0.016,0.013*,.012,0.011,0.02,.034,.037,0.043,0.041,.026,0.025,.021,.019,.011,.009,.016,.019,.023,.037,.04,.04,.025,.031,.021,.013,.011,.009,.027,0.022,0.027,0.041,0.046,0.046,.024,.019,.021,.015,.015,.013,.015,.021,.033,.038,.039,.037,0.03,.026,.024,.017,.011,.011,.013,.021,0.033,.035,0.046,.037,.027,.025,0.018,.021,.016,.011,.015,.022,.031,.039,.036,,.027,.019,.024,.022,.02,.019,.022,.03,.033,.042,.035,.038,.026,.026,.025,.019,.022,.018,.019,.031,.032,.044,.049,.037,.028,.025,.021,.018,.018,.017,0.0179,.0247,.0349,.0378,.0403,.0418,.0249,.026,.025,.02,.0221,.0197,
청원,월평균,,.014,0.023,0.035,0.04,0.052,0.045,0.038,0.028,0.029,0.022,.015,.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단양,월평균,,.009,0.015,0.019,0.027,0.043,0.032,0.03,0.023,0.019,0.014,.011,.014,0.014,0.024,.028,.032,0.05,0.037,.026,0.025,.022,.02,.013,.014,.02,.026,.031,.039,.036,.034,.021,.025,.014,.011,.011,.008,.027,0.02,0.028,0.038,0.041,0.042,.027,.019,.016,.013,.014,.013,.016,.022,.031,.034,.029,.035,0.025,.025,.018,.015,.011,.013,.013,.018,0.03,.032,0.036,.033,.022,.016,0.014,.012,.013,.008,.01,.022,.032,.042,.035,.041,.024,.019,.026,.023,.02,.018,.023,.028,.035,.044,.036,.038,.026,.024,.024,.019,.022,.018,.018,.033,.034,.044,.052,.038,.029,.022,.021,.02,.019,.017,0.0186,.0253,.0381,.0405,.0424,.043,.0255,.0259,.0234,.0206,.0232,.0194,
진천,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.03,.034,.027,.023,.014,.012,.025,0.024,0.02,0.048,0.055,0.056,.035,.029,.032,.023,.018,.016,.018,.027,.036,.043,.044,.046,0.031,.03,.027,.021,.014,.014,.018,.026,0.039,.037,0.052,.046,.033,.03,0.026,.023,.016,.014,.017,.023,.037,.045,.045,.051,.031,.025,.031,.027,.021,.018,.021,.031,.037,.049,.045,.05,.035,.033,.032,.026,.022,.017,.019,.031,.033,.043,.052,.042,.037,.03,.031,.025,.021,.016,0.0189,.0268,.0418,.0411,.0484,.0525,.0387,.0374,.0353,.0298,.0261,.0204,
