행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
인천광역시 강화군_2020,9.0,14.0,13.0,7.0,11.0,22.0,25.0,19.0,124.0,12.0,100.0,475.0,8455.0
인천광역시 옹진군_2020,10.0,13.0,8.0,2.0,8.0,20.0,18.0,10.0,39.0,4.0,104.0,91.0,3485.0
인천광역시 중구_2020,13.0,16.0,12.0,8.0,18.0,23.0,25.0,22.0,327.0,55.0,80.0,2215.0,17543.0
인천광역시 동구_2020,12.0,16.0,14.0,8.0,16.0,24.0,28.0,22.0,663.0,25.0,55.0,930.0,24137.0
인천광역시 미추홀구_2020,13.0,16.0,13.0,9.0,17.0,23.0,26.0,22.0,685.0,76.0,68.0,3770.0,29286.0
인천광역시 연수구_2020,13.0,15.0,12.0,11.0,19.0,22.0,25.0,26.0,558.0,91.0,74.0,5760.0,23670.0
인천광역시 남동구_2020,13.0,14.0,11.0,10.0,18.0,21.0,23.0,24.0,350.0,25.0,77.0,8552.0,14220.0
인천광역시 부평구_2020,11.0,16.0,14.0,9.0,16.0,23.0,28.0,22.0,787.0,29.0,70.0,5372.0,33240.0
인천광역시 계양구_2020,11.0,8.0,8.0,10.0,17.0,13.0,19.0,23.0,48.0,2.0,188.0,2728.0,2337.0
인천광역시 서구_2020,14.0,6.0,5.0,10.0,19.0,9.0,11.0,25.0,4.0,0.0,2459.0,8426.0,555.0
전라남도 목포시_2020,9.0,15.0,12.0,9.0,15.0,23.0,26.0,22.0,433.0,41.0,48.0,3326.0,15553.0
전라남도 여수시_2020,8.0,13.0,10.0,9.0,13.0,20.0,25.0,23.0,466.0,36.0,49.0,3030.0,14424.0
전라남도 순천시_2020,8.0,14.0,12.0,9.0,14.0,22.0,26.0,23.0,483.0,56.0,55.0,3565.0,16649.0
전라남도 나주시_2020,7.0,11.0,7.0,6.0,14.0,18.0,19.0,17.0,145.0,19.0,59.0,1617.0,6058.0
전라남도 광양시_2020,7.0,13.0,10.0,9.0,11.0,20.0,24.0,24.0,241.0,15.0,64.0,1199.0,9221.0
전라남도 담양군_2020,5.0,7.0,6.0,8.0,11.0,12.0,17.0,20.0,242.0,16.0,9.0,290.0,1425.0
전라남도 곡성군_2020,3.0,5.0,8.0,7.0,7.0,12.0,21.0,18.0,21.0,0.0,77.0,113.0,883.0
전라남도 구례군_2020,5.0,6.0,6.0,9.0,9.0,11.0,18.0,21.0,23.0,1.0,71.0,157.0,908.0
전라남도 고흥군_2020,4.0,6.0,5.0,8.0,8.0,11.0,15.0,21.0,48.0,2.0,72.0,243.0,1800.0
