,행정구역,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수,종합병원,병원,의원,치과병(의)원,한방병원,한의원,인구 천명당 의료기관병상수(개),총병상수 (개),하수도보급률,상수도보급률,소멸위험지수,소멸위험등급
146,서울특별시 강남구_2015,12,15,13,15,22,25,28,33,1688,508,25,4213,24007,4,35,1466,587,9,373,12.7,7335,100.0,100.0,3.3374597942130824,D
147,서울특별시 송파구_2015,13,15,15,13,22,24,29,29,1029,71,55,6027,32093,2,14,451,306,2,231,9.3,6157,100.0,100.0,2.98029976545642,D
148,서울특별시 강동구_2015,15,15,13,11,22,24,27,25,691,40,48,4698,21620,3,13,333,210,4,167,12.7,5843,100.0,100.0,1.9454754403407528,D
149,울산광역시 중구_2015,16,15,14,13,22,22,29,31,419,32,55,3321,11998,1,10,106,66,-,50,10.8,2630,99.8,100.0,2.6226539241737834,D
150,울산광역시 남구_2015,14,15,15,14,22,23,29,33,998,89,39,4733,17435,3,25,250,166,3,125,16,5505,99.9,100.0,4.35771298478758,D
151,울산광역시 동구_2015,16,15,13,12,22,22,26,28,271,15,59,2884,9750,1,2,82,49,-,39,11.3,1980,100.0,99.4,4.030839555645279,D
152,울산광역시 북구_2015,16,16,13,13,22,23,27,31,333,15,78,4543,13120,1,2,62,45,-,33,5.2,997,98.5,99.0,7.161515038047316,D
153,울산광역시 울주군_2015,14,14,14,14,19,21,27,34,362,8,63,3696,13831,1,6,65,39,-,40,14.7,3231,95.5,91.1,1.939033286065616,D
154,인천광역시 강화군_2015,11,16,15,9,13,22,30,22,69,12,159,628,7415,0,2,20,14,0,17,12.3,832,46.0,68.2,0.2544838426941899,B
155,인천광역시 옹진군_2015,11,15,12,4,12,22,25,12,46,1,112,152,4315,0,1,1,1,0,2,2.8,58,35.0,26.1,0.2736742312025436,B
156,인천광역시 중구_2015,13,16,15,12,16,23,31,28,305,56,90,2008,17369,3,0,45,36,1,14,16.6,1901,87.0,96.3,1.3329294412559811,D
