±∏∫–,«◊∏Ò,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
º¯√¢,≥‚∆Ú±’,,,,30.00 ,25.00 ,19.50 ,16.58 ,15.50 ,19.08 
¿Âºˆ,≥‚∆Ú±’,,,,27.00 ,24.64 ,17.90 ,14.17 ,15.33 ,17.82 
µµ∆Ú±’,≥‚∆Ú±’,39.25 ,31.50 ,28.36 ,25.25 ,25.83 ,20.50 ,19.42 ,19.42 ,20.25 
»≠º¯,≥‚∆Ú±’,,,,,16.56 ,16.09 ,13.42 ,14.25 ,13.00 
ø©ºˆ,≥‚∆Ú±’,21.42 ,21.67 ,19.18 ,17.92 ,17.67 ,13.42 ,13.42 ,14.25 ,14.67 
±§æÁ,≥‚∆Ú±’,24.83 ,23.75 ,20.83 ,21.20 ,17.36 ,14.36 ,18.00 ,14.08 ,14.50 
º¯√µ,≥‚∆Ú±’,22.92 ,25.00 ,20.25 ,22.90 ,17.83 ,14.09 ,14.00 ,12.67 ,14.33 
∏Ò∆˜,≥‚∆Ú±’,24.00 ,21.18 ,19.33 ,17.83 ,19.92 ,14.50 ,13.42 ,12.92 ,13.33 
øµæœ,≥‚∆Ú±’,31.92 ,28.42 ,23.92 ,23.82 ,23.83 ,22.42 ,24.00 ,17.17 ,17.58 
≥™¡÷,≥‚∆Ú±’,,,,24.55 ,20.25 ,15.73 ,14.75 ,15.83 ,16.82 
¥„æÁ,≥‚∆Ú±’,,,,24.00 ,23.83 ,14.27 ,14.25 ,16.00 ,18.08 
¿Âº∫,≥‚∆Ú±’,,,,21.42 ,22.00 ,17.42 ,19.00 ,17.00 ,16.33 
«ÿ≥≤,≥‚∆Ú±’,,,,18.25 ,19.58 ,16.17 ,15.67 ,14.50 ,13.45 
øµ±§,≥‚∆Ú±’,,,,32.00 ,25.92 ,20.00 ,20.75 ,20.67 ,20.75 
