행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
부산광역시 수영구_2017,12.0,15.0,12.0,13.0,22.0,22.0,25.0,30.0,253.0,22.0,38.0,2142.0,6154.0
부산광역시 사상구_2017,11.0,13.0,11.0,11.0,21.0,20.0,24.0,25.0,147.0,24.0,87.0,3320.0,8431.0
부산광역시 기장군_2017,13.0,15.0,14.0,13.0,21.0,23.0,27.0,30.0,207.0,8.0,83.0,3609.0,10375.0
서울특별시 종로구_2017,13.0,11.0,10.0,12.0,20.0,20.0,24.0,29.0,109.0,188.0,70.0,1320.0,5561.0
서울특별시 중구_2017,12.0,13.0,8.0,12.0,16.0,21.0,17.0,29.0,64.0,64.0,117.0,1172.0,5283.0
서울특별시 용산구_2017,11.0,13.0,10.0,13.0,21.0,21.0,23.0,29.0,143.0,32.0,77.0,1672.0,7624.0
서울특별시 성동구_2017,13.0,12.0,11.0,11.0,22.0,20.0,24.0,24.0,255.0,40.0,75.0,2638.0,12047.0
서울특별시 광진구_2017,12.0,14.0,13.0,13.0,23.0,23.0,26.0,30.0,383.0,59.0,62.0,3139.0,15029.0
서울특별시 동대문구_2017,12.0,14.0,12.0,9.0,19.0,22.0,24.0,22.0,304.0,56.0,62.0,3249.0,13930.0
서울특별시 중랑구_2017,12.0,14.0,12.0,12.0,20.0,22.0,25.0,27.0,266.0,22.0,92.0,3365.0,15419.0
서울특별시 성북구_2017,11.0,15.0,13.0,12.0,20.0,24.0,26.0,29.0,424.0,33.0,70.0,5094.0,21897.0
서울특별시 강북구_2017,11.0,14.0,12.0,11.0,18.0,23.0,26.0,25.0,203.0,24.0,84.0,1887.0,10878.0
서울특별시 도봉구_2017,12.0,15.0,12.0,11.0,19.0,22.0,24.0,24.0,345.0,15.0,76.0,2929.0,16242.0
서울특별시 노원구_2017,12.0,15.0,13.0,12.0,19.0,22.0,26.0,27.0,728.0,47.0,64.0,6867.0,28364.0
서울특별시 은평구_2017,12.0,15.0,13.0,12.0,17.0,23.0,26.0,26.0,480.0,41.0,66.0,4242.0,22409.0
서울특별시 서대문구_2017,12.0,14.0,12.0,12.0,20.0,22.0,24.0,27.0,289.0,53.0,61.0,2649.0,13193.0
서울특별시 마포구_2017,13.0,13.0,13.0,12.0,20.0,22.0,26.0,27.0,444.0,172.0,50.0,2975.0,15850.0
서울특별시 양천구_2017,11.0,15.0,14.0,13.0,19.0,23.0,27.0,31.0,1018.0,34.0,42.0,4972.0,24526.0
서울특별시 강서구_2017,12.0,15.0,12.0,10.0,20.0,22.0,24.0,24.0,673.0,40.0,54.0,6084.0,26594.0
서울특별시 구로구_2017,12.0,14.0,12.0,13.0,21.0,23.0,24.0,30.0,367.0,64.0,85.0,3271.0,18965.0
서울특별시 금천구_2017,13.0,12.0,11.0,11.0,18.0,20.0,22.0,25.0,180.0,35.0,74.0,1767.0,9030.0
서울특별시 영등포구_2017,12.0,12.0,12.0,11.0,21.0,20.0,24.0,25.0,315.0,155.0,80.0,3883.0,13905.0
서울특별시 동작구_2017,12.0,15.0,12.0,11.0,19.0,24.0,26.0,26.0,365.0,107.0,69.0,3620.0,16698.0
서울특별시 관악구_2017,12.0,13.0,12.0,10.0,20.0,22.0,25.0,24.0,366.0,89.0,68.0,4147.0,16227.0
