행정구역(시)별,산업별,2015,2015.1,2015.2,2015.3,2015.4,2016,2016.1,2016.2,2016.3,2016.4,2017,2017.1,2017.2,2017.3,2017.4,2018,2018.1,2018.2,2018.3,2018.4,2019,2019.1,2019.2,2019.3,2019.4,2020,2020.1,2020.2,2020.3,2020.4,2021,2021.1,2021.2,2021.3,2021.4
행정구역(시)별,산업별,사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명)
제주시,"사업시설 관리, 사업 지원 및 임대 서비스업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1405,400,11324,5910,5414,1454,-,11394,-,-,2566,-,12705,-,-,2466,-,13020,-,-
제주시,"공공행정, 국방 및 사회보장행정",135,-,7577,-,-,139,-,9032,-,-,138,9,9314,6360,2954,143,10,10427,7045,3382,144,-,11188,-,-,145,-,11427,-,-,152,-,12231,-,-
제주시,교육 서비스업,1997,-,15441,-,-,2036,-,14662,-,-,2027,1171,14893,6086,8807,2079,1209,15642,6136,9506,2194,-,16328,-,-,2648,-,16067,-,-,2852,-,16708,-,-
제주시,보건업 및 사회복지 서비스업,1340,-,15868,-,-,1379,-,16246,-,-,1430,677,17606,3628,13978,1457,677,17953,3866,14087,1524,-,19462,-,-,1591,-,21460,-,-,1610,-,21994,-,-
제주시,"예술, 스포츠 및 여가 관련 서비스업",1054,-,6963,-,-,1151,-,6815,-,-,1234,501,6759,3665,3094,1347,541,6895,3816,3079,1448,-,7346,-,-,1882,-,7250,-,-,1996,-,7833,-,-
제주시,"협회 및 단체, 수리 및 기타개인서비스업",4053,-,9843,-,-,4070,-,10597,-,-,4049,2052,9160,4577,4583,4194,2168,9725,4738,4987,4347,-,10225,-,-,5125,-,10443,-,-,5385,-,10685,-,-
서귀포시,합계,14238,6561,59090,30567,28523,14770,6787,61953,31662,30291,15462,7073,64307,33041,31266,16429,7589,70149,35726,34423,17463,8145,71654,35849,35805,23962,10431,77879,40257,37622,24722,10745,80224,41258,38966
서귀포시,"농업, 임업 및 어업",207,-,2225,-,-,177,-,1684,-,-,168,27,1583,1103,480,174,25,1489,929,560,172,-,1266,-,-,316,-,1850,-,-,301,-,2094,-,-
서귀포시,광업,6,-,57,-,-,4,-,41,-,-,2,1,22,19,3,2,1,21,19,2,2,-,17,-,-,2,-,20,-,-,2,-,19,-,-
서귀포시,제조업,468,-,2309,-,-,472,-,2315,-,-,559,153,2548,1825,723,610,180,2783,1948,835,636,-,2819,-,-,893,-,2995,-,-,924,-,3102,-,-
