구분별(1),구분별(2),구분별(3),자치구별(1),산업대분류별(1),2015,2016,2017,2018,2019,2020,2021
조직형태별,회사법인,사업체수 (개),서울시,전기 가스 증기 및 수도사업,72,69,-,-,-,-,-
조직형태별,회사법인,사업체수 (개),서울시,전기 가스 증기 및 공기조절 공급업,-,-,88,124,163,396,309
조직형태별,회사법인,사업체수 (개),서울시,하수폐기물처리 원료재생 및 환경복원업,322,300,-,-,-,-,-
조직형태별,회사법인,사업체수 (개),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,291,290,302,415,411
조직형태별,회사법인,사업체수 (개),서울시,건설업,11035,10629,10707,10529,10279,16082,15833
조직형태별,회사법인,사업체수 (개),서울시,도매 및 소매업,50925,52613,54945,54427,56100,81472,74655
조직형태별,회사법인,사업체수 (개),서울시,운수업,4920,4850,-,-,-,-,-
조직형태별,회사법인,사업체수 (개),서울시,운수 및 창고업,-,-,4843,4946,4972,6629,6393
조직형태별,회사법인,사업체수 (개),서울시,숙박 및 음식점업,8478,8973,9703,10434,11268,13562,13252
조직형태별,회사법인,사업체수 (개),서울시,출판 영상 방송통신 및 정보서비스업,16285,15806,-,-,-,-,-
조직형태별,회사법인,사업체수 (개),서울시,정보통신업,-,-,15915,15949,16198,30341,30943
조직형태별,회사법인,사업체수 (개),서울시,금융 및 보험업,8015,7915,7959,7988,8082,14779,14939
조직형태별,회사법인,사업체수 (개),서울시,부동산업 및 임대업,7672,7769,-,-,-,-,-
조직형태별,회사법인,사업체수 (개),서울시,부동산업,-,-,7062,7681,9237,21397,21501
조직형태별,회사법인,사업체수 (개),서울시,전문 과학 및 기술 서비스업,16839,15523,15633,17000,17712,32632,31826
조직형태별,회사법인,사업체수 (개),서울시,사업시설관리 및 사업지원 서비스업,8404,7810,-,-,-,-,-
조직형태별,회사법인,사업체수 (개),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,9064,9162,9238,13622,12911
조직형태별,회사법인,사업체수 (개),서울시,공공행정 국방 및 사회보장 행정,-,-,-,-,-,1,1
조직형태별,회사법인,사업체수 (개),서울시,교육 서비스업,3896,3962,4221,4400,4638,5977,6029
조직형태별,회사법인,사업체수 (개),서울시,보건업 및 사회복지 서비스업,174,194,232,248,294,385,400
조직형태별,회사법인,사업체수 (개),서울시,예술 스포츠 및 여가관련 서비스업,1274,1310,1502,1679,1901,2998,2865
조직형태별,회사법인,사업체수 (개),서울시,협회 및 단체 수리 및 기타 개인서비스업,2020,1917,1635,1701,1701,2369,2155
조직형태별,회사법인,종사자수 (명),서울시,합계,2731540,2707718,2730632,2792680,2783660,3170750,3118780
조직형태별,회사법인,종사자수 (명),서울시,농업 임업 및 어업,246,240,231,270,213,756,678
조직형태별,회사법인,종사자수 (명),서울시,광업,68,54,66,80,42,87,132
조직형태별,회사법인,종사자수 (명),서울시,제조업,127830,120060,114677,114863,121873,127368,125821
조직형태별,회사법인,종사자수 (명),서울시,전기 가스 증기 및 수도사업,3757,2860,-,-,-,-,-
조직형태별,회사법인,종사자수 (명),서울시,전기 가스 증기 및 공기조절 공급업,-,-,2758,3090,3143,3202,3272
조직형태별,회사법인,종사자수 (명),서울시,하수폐기물처리 원료재생 및 환경복원업,6005,5957,-,-,-,-,-
조직형태별,회사법인,종사자수 (명),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,6245,6339,6393,7207,7274
조직형태별,회사법인,종사자수 (명),서울시,건설업,328656,332486,351566,346541,326286,437379,372291
조직형태별,회사법인,종사자수 (명),서울시,도매 및 소매업,515992,510135,514621,528372,537742,606088,592301
조직형태별,회사법인,종사자수 (명),서울시,운수업,162237,156377,-,-,-,-,-
조직형태별,회사법인,종사자수 (명),서울시,운수 및 창고업,-,-,156154,151678,144815,151948,141920
조직형태별,회사법인,종사자수 (명),서울시,숙박 및 음식점업,120410,115696,115186,124417,125675,116521,115767
조직형태별,회사법인,종사자수 (명),서울시,출판 영상 방송통신 및 정보서비스업,310974,306320,-,-,-,-,-
조직형태별,회사법인,종사자수 (명),서울시,정보통신업,-,-,310313,322579,325979,400768,432479
조직형태별,회사법인,종사자수 (명),서울시,금융 및 보험업,244757,231078,228758,221296,222533,242842,246047
조직형태별,회사법인,종사자수 (명),서울시,부동산업 및 임대업,81014,85793,-,-,-,-,-
조직형태별,회사법인,종사자수 (명),서울시,부동산업,-,-,70928,70286,76917,96647,96000
조직형태별,회사법인,종사자수 (명),서울시,전문 과학 및 기술 서비스업,317246,299927,302035,320658,334676,396773,406466
조직형태별,회사법인,종사자수 (명),서울시,사업시설관리 및 사업지원 서비스업,398144,432306,-,-,-,-,-
조직형태별,회사법인,종사자수 (명),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,450172,469054,441474,459997,451142
조직형태별,회사법인,종사자수 (명),서울시,공공행정 국방 및 사회보장 행정,-,-,-,-,-,439,451
조직형태별,회사법인,종사자수 (명),서울시,교육 서비스업,58310,56141,58335,60350,62607,65575,70275
조직형태별,회사법인,종사자수 (명),서울시,보건업 및 사회복지 서비스업,3103,2968,4012,4572,5177,6653,7335
조직형태별,회사법인,종사자수 (명),서울시,예술 스포츠 및 여가관련 서비스업,16528,16583,17504,20381,21057,21736,22808
조직형태별,회사법인,종사자수 (명),서울시,협회 및 단체 수리 및 기타 개인서비스업,36263,32737,27071,27854,27058,28764,26321
조직형태별,회사이외의 법인,사업체수 (개),서울시,합계,18791,19078,19458,20498,21407,40780,41015
조직형태별,회사이외의 법인,사업체수 (개),서울시,농업 임업 및 어업,7,8,8,7,6,16,13
조직형태별,회사이외의 법인,사업체수 (개),서울시,광업,-,-,-,-,-,-,-
조직형태별,회사이외의 법인,사업체수 (개),서울시,제조업,128,118,136,160,177,254,268
조직형태별,회사이외의 법인,사업체수 (개),서울시,전기 가스 증기 및 수도사업,59,59,-,-,-,-,-
조직형태별,회사이외의 법인,사업체수 (개),서울시,전기 가스 증기 및 공기조절 공급업,-,-,37,38,40,53,47
조직형태별,회사이외의 법인,사업체수 (개),서울시,하수폐기물처리 원료재생 및 환경복원업,75,74,-,-,-,-,-
조직형태별,회사이외의 법인,사업체수 (개),서울시,수도 하수 및 폐기물 처리 원료 재생업,-,-,94,94,97,100,102
조직형태별,회사이외의 법인,사업체수 (개),서울시,건설업,21,21,32,41,52,88,97
조직형태별,회사이외의 법인,사업체수 (개),서울시,도매 및 소매업,707,630,704,700,727,1288,1125
조직형태별,회사이외의 법인,사업체수 (개),서울시,운수업,802,807,-,-,-,-,-
조직형태별,회사이외의 법인,사업체수 (개),서울시,운수 및 창고업,-,-,788,799,802,964,998
조직형태별,회사이외의 법인,사업체수 (개),서울시,숙박 및 음식점업,227,241,267,280,285,477,470
조직형태별,회사이외의 법인,사업체수 (개),서울시,출판 영상 방송통신 및 정보서비스업,482,466,-,-,-,-,-
조직형태별,회사이외의 법인,사업체수 (개),서울시,정보통신업,-,-,463,472,465,646,625
조직형태별,회사이외의 법인,사업체수 (개),서울시,금융 및 보험업,1488,1445,1470,1479,1500,1669,1724
조직형태별,회사이외의 법인,사업체수 (개),서울시,부동산업 및 임대업,476,509,-,-,-,-,-
조직형태별,회사이외의 법인,사업체수 (개),서울시,부동산업,-,-,476,520,688,4528,5140
조직형태별,회사이외의 법인,사업체수 (개),서울시,전문 과학 및 기술 서비스업,3400,3336,3487,3752,4025,5720,5598
조직형태별,회사이외의 법인,사업체수 (개),서울시,사업시설관리 및 사업지원 서비스업,270,287,-,-,-,-,-
조직형태별,회사이외의 법인,사업체수 (개),서울시,사업시설 관리 사업 지원 및 임대 서비스업,-,-,283,290,296,621,579
조직형태별,회사이외의 법인,사업체수 (개),서울시,공공행정 국방 및 사회보장 행정,1284,1292,1294,1280,1286,1305,1302
조직형태별,회사이외의 법인,사업체수 (개),서울시,교육 서비스업,2855,2860,2952,3002,3076,3725,3798
조직형태별,회사이외의 법인,사업체수 (개),서울시,보건업 및 사회복지 서비스업,1776,1974,1929,2082,2201,4050,4388
조직형태별,회사이외의 법인,사업체수 (개),서울시,예술 스포츠 및 여가관련 서비스업,694,729,744,795,861,1307,1310
조직형태별,회사이외의 법인,사업체수 (개),서울시,협회 및 단체 수리 및 기타 개인서비스업,4040,4222,4294,4707,4823,13969,13431
조직형태별,회사이외의 법인,종사자수 (명),서울시,합계,676175,682454,681386,708244,737895,863295,880263
조직형태별,회사이외의 법인,종사자수 (명),서울시,농업 임업 및 어업,245,223,238,192,213,79,75
조직형태별,회사이외의 법인,종사자수 (명),서울시,광업,-,-,-,-,-,-,-
조직형태별,회사이외의 법인,종사자수 (명),서울시,제조업,1720,1834,1860,1990,2224,2799,2931
조직형태별,회사이외의 법인,종사자수 (명),서울시,전기 가스 증기 및 수도사업,4942,4736,-,-,-,-,-
조직형태별,회사이외의 법인,종사자수 (명),서울시,전기 가스 증기 및 공기조절 공급업,-,-,2792,2944,3045,3182,3220
