시군별,산업별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,Unnamed: 10
양주시,정보통신업,사업체수[개],개,23,23,33,37,185,211,
양주시,정보통신업,종사자수[명],명,112,113,183,212,389,412,
양주시,금융 및 보험업,사업체수[개],개,62,65,65,72,99,97,
양주시,금융 및 보험업,종사자수[명],명,771,804,708,712,693,677,
양주시,부동산업,사업체수[개],개,593,581,618,735,1296,1421,
양주시,부동산업,종사자수[명],명,1637,1318,1437,1739,2378,2603,
양주시,"전문, 과학 및 기술서비스업",사업체수[개],개,181,201,226,256,490,534,
양주시,"전문, 과학 및 기술서비스업",종사자수[명],명,788,938,1005,1103,1466,1503,
양주시,사업시설관리 및 사업지원 및 임대서비스업,사업체수[개],개,198,278,280,288,652,624,
양주시,사업시설관리 및 사업지원 및 임대서비스업,종사자수[명],명,1382,1659,1548,1747,2137,2170,
양주시,"공공행정, 국방 및 사회보장행정",사업체수[개],개,39,39,39,41,41,43,
양주시,"공공행정, 국방 및 사회보장행정",종사자수[명],명,1771,1770,1923,2352,2389,2448,
양주시,교육서비스업,사업체수[개],개,564,586,620,650,832,917,
양주시,교육서비스업,종사자수[명],명,4990,5334,5635,6093,5924,6380,
양주시,보건업 및 사회복지서비스업,사업체수[개],개,526,565,597,634,675,708,
양주시,보건업 및 사회복지서비스업,종사자수[명],명,4996,5951,6813,7996,9084,9932,
양주시,"예술, 스포츠 및 여가관련서비스업",사업체수[개],개,397,430,459,497,562,599,
양주시,"예술, 스포츠 및 여가관련서비스업",종사자수[명],명,1467,1673,1604,1749,1540,1563,
양주시,"협회 및 단체, 수리 기타 개인서비스업",사업체수[개],개,1465,1434,1519,1632,2033,1997,
양주시,"협회 및 단체, 수리 기타 개인서비스업",종사자수[명],명,3487,3086,3165,3319,3472,3366,
포천시,합계,사업체수[개],개,17866,17997,18421,18994,28111,27380,
포천시,합계,여성대표자 사업체수[개],개,5874,5966,6186,6415,8807,8736,
포천시,합계,종사자수[명],명,91015,91285,93435,97109,105735,104004,
포천시,합계,남성 종사자수[명],명,57866,58316,59860,61369,67680,65921,
포천시,합계,여성 종사자수[명],명,33149,32969,33575,35740,38055,38083,
포천시,농업 임업 및 어업,사업체수[개],개,32,33,36,34,87,99,
포천시,농업 임업 및 어업,종사자수[명],명,270,225,347,349,406,440,
포천시,광업,사업체수[개],개,11,15,15,17,19,15,
포천시,광업,종사자수[명],명,276,357,380,424,382,362,
포천시,제조업,사업체수[개],개,5722,5897,5981,6159,7838,7876,
포천시,제조업,종사자수[명],명,42191,43271,43667,44549,46807,45006,
포천시,전기가스증기 및 공기조절 공급업,사업체수[개],개,9,10,10,10,323,387,
포천시,전기가스증기 및 공기조절 공급업,종사자수[명],명,274,376,374,351,668,779,
포천시,"수도, 하수 및 폐기물 처리, 원료 재생업",사업체수[개],개,126,137,128,124,156,149,
포천시,"수도, 하수 및 폐기물 처리, 원료 재생업",종사자수[명],명,962,938,894,948,1030,982,
포천시,건설업,사업체수[개],개,478,479,506,563,1969,2086,
포천시,건설업,종사자수[명],명,3305,3161,3367,3583,5120,5377,
포천시,도매 및 소매업,사업체수[개],개,3528,3525,3610,3716,5959,5805,
포천시,도매 및 소매업,종사자수[명],명,11074,10846,11344,11933,14195,14130,
