행정구역(동읍면)별,2015,2016,2017,2018,2019,2020,2021
경상남도 창원시,2.2368250666408382,1.9281212407931656,1.597886775575458,1.3779549038082333,1.0883632961019685,0.8770417110420186,0.7531439497339932
경상남도 통영시,0.8814825132934564,0.7515314536389724,0.5307562664357527,0.4778336181080905,0.3566142468533013,0.2128256350844569,0.1588017265683122
경상남도 하동군,0.3398246139288148,0.0702440288733694,0.03696720868641,-0.0954649470007359,-0.0432584148322635,-0.2359996376889954,-0.144013297979318
경상남도 함안군,0.4414867582719849,0.3444603273814777,0.2383052404152981,0.1419105705540029,0.0615196319338911,0.0109012125567988,-0.0206875203716155
경상남도 함양군,0.1099164673348293,0.1571074188457321,0.1795394862229073,0.1530713666417872,0.069867756588774,0.0315645478848013,0.0073035930908958
경상남도 합천군,-0.0771514753237043,-0.0691092905530583,-0.0520316351855153,-0.072190088639293,0.0035757892356484,-0.1143711868172145,-0.0401975898578892
경상북도 경산시,1.2962890492808394,1.1376602950110448,1.017292968081094,0.9220093261194598,0.8390586141487374,0.6958885414689487,0.7222568830603164
경상북도 경주시,0.4797385942786771,0.4776959130936539,0.3777530743887018,0.3558545066623941,0.2934010870195487,0.2313194141565236,0.2314639569536053
경상북도 고령군,0.0700694463124178,0.0937988408909889,0.0391893822234053,-0.0620219082203866,-0.0370573321949625,-0.1400640097097217,-0.0518854858046583
경상북도 구미시,5.847614630678478,5.216373757052696,4.49992221359479,3.826770453098349,3.186939644922659,2.5933412187245377,2.1459667202695387
경상북도 김천시,0.6257131218810944,0.5032829843800948,0.414057622450306,0.2283818995875135,0.3148524809595508,0.2355671059640034,0.2481778414011811
경상북도 문경시,0.2137969157883736,0.087679006893148,0.0211678216145394,0.0142250628097792,0.2202435814599241,0.0677813183317533,0.1230965736973887
경상북도 봉화군,0.0990189921098213,0.0638585960112541,0.0553172487551607,0.0255914182956199,-0.0952448912970011,-0.0692846438149532,-0.0553955822576554
경상북도 상주시,0.1533124034436744,0.153589368250438,0.1189917421248508,0.1250458675896167,0.1988342646294701,-0.1305715233211988,0.0386248944661439
경상북도 성주군,0.1907526008582882,0.2082427762229088,0.1504521570702508,0.0592037567327124,0.0017198708318869,0.00730053706548,0.0408327865945844
경상북도 안동시,0.4438218622772092,0.3786505164251292,0.2404301995166741,0.1314397561360284,0.1680120541253308,0.2070459913456837,0.1602038854195259
경상북도 영덕군,0.0477614381763845,0.1322552195780686,0.0129005137990854,0.0524502224686143,-0.0754194126371214,-0.1512202530250629,-0.0943603580538297
경상북도 영양군,-0.0102133067173354,0.0434921715026928,-0.0093060630848212,0.0821116266699091,-0.0726850175976292,-0.0384941611415618,-0.0079436837110988
경상북도 영주시,0.2391633257051284,0.2636884941283768,0.2075953231752862,0.1095059453333121,0.0699230387545939,0.0324262969000692,0.1124154122546612
경상북도 영천시,0.2377582938001661,0.2246263186977856,0.2283123018510346,0.2771328637884895,0.2329478437609312,0.1310883295346673,0.1609955157383911
경상북도 예천군,0.0289112535975964,0.4541763227284371,0.663674487804444,0.6985359550193506,0.439487692280797,0.2337721407101904,0.2111344868540043
경상북도 울릉군,0.2279141704889121,0.1650004840178181,0.2274126810612941,0.1254044120811401,0.038007829620179,-0.2224719003997433,0.0447324216248072
경상북도 울진군,0.1938912248930138,0.2117253490381413,0.0793082599234219,0.0223921577053096,0.0511287233948384,0.0769584129336616,0.0378045569473746
경상북도 의성군,0.0136272368794747,0.0711868793922394,0.071276396108899,0.0734013596515885,0.0891557783471559,-0.0162345086579153,0.0047369522458767
경상북도 청도군,0.1078789443701482,0.1221763506333933,0.1105869430436639,0.093792040768252,0.1178640703960309,0.0129655997351323,0.0978619486261901
경상북도 청송군,0.1283754729779099,0.1174908019916093,0.0372838784138346,0.0236227731401957,0.0283429348935011,0.0140067984923128,-0.0356915561194818
경상북도 칠곡군,1.5566164149400403,1.4525831176160264,1.030306267759307,0.868661084685236,0.7164908590997773,0.541886293602923,0.5699298001687898
경상북도 포항시,1.3590305506258058,1.1320089752048066,0.9307264516831152,0.7682366071454066,0.6433364804849665,0.4981826032661075,0.5135064909048204
광주광역시 광산구,5.058368083251393,4.713492985396646,4.226559519911322,3.780485323358567,3.409302216502185,2.9864555926870406,2.6323484080311546
광주광역시 남구,1.3522928600314068,1.1024215009629632,0.9682036175502026,0.8391591024770746,0.8696639400759698,0.5984498528292941,0.6970187619334206
광주광역시 동구,0.4064905747509779,0.2996986609486535,0.4278561217319548,0.3644637721649058,0.6309975018149118,0.6480477756893636,0.4665073199768789
광주광역시 북구,2.0037487375010583,1.6707133234916998,1.4753483587071436,1.3669429607465786,1.052344650166384,0.938379707075866,0.8112505778970264
광주광역시 서구,2.31007050794567,2.317246854388829,1.865652868237472,1.6226936703172727,1.3832420707181132,1.122006627160614,0.9352923998612532
대구광역시 군위군,0.1366645255270391,0.1781020477258678,0.1720963904422901,0.0441728337924696,0.1118923881624716,-0.1073218840889987,0.0612897179911399
대구광역시 남구,0.5260261522404586,0.3699457468297248,0.3249403357007535,0.3328203467890458,0.2909881786837724,0.3025274808751532,0.2111345808052521
