"행정구역(동읍면)별","5세별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"종로구","95 - 99세","남자인구수[명]","명","80","89","95","106","111","115","70","58","55",
"종로구","95 - 99세","여자인구수[명]","명","143","145","155","163","164","176","130","132","146",
"종로구","100+","총인구수[명]","명","209","220","226","231","253","276","32","29","35",
"종로구","100+","남자인구수[명]","명","71","73","66","73","82","97","9","10","9",
"종로구","100+","여자인구수[명]","명","138","147","160","158","171","179","23","19","26",
"중구","15 - 19세","총인구수[명]","명","5467","5123","4750","4411","4154","3681","3421","3385","3258",
"중구","15 - 19세","남자인구수[명]","명","2771","2595","2462","2278","2144","1854","1701","1668","1611",
"중구","15 - 19세","여자인구수[명]","명","2696","2528","2288","2133","2010","1827","1720","1717","1647",
"중구","20 - 24세","총인구수[명]","명","8336","8216","7986","7866","7682","7654","7369","6934","6727",
"중구","20 - 24세","남자인구수[명]","명","4204","4142","3918","3772","3605","3531","3306","3153","3067",
"중구","20 - 24세","여자인구수[명]","명","4132","4074","4068","4094","4077","4123","4063","3781","3660",
"중구","25 - 29세","총인구수[명]","명","9332","9529","10116","10401","10791","10932","10940","10685","10810",
"중구","25 - 29세","남자인구수[명]","명","4785","4792","5083","5178","5332","5320","5171","5026","4912",
"중구","25 - 29세","여자인구수[명]","명","4547","4737","5033","5223","5459","5612","5769","5659","5898",
"중구","30 - 34세","총인구수[명]","명","10727","10332","9984","10092","10202","10131","10388","10746","11558",
"중구","30 - 34세","남자인구수[명]","명","5457","5192","5014","5025","5081","4999","5159","5330","5739",
"중구","30 - 34세","여자인구수[명]","명","5270","5140","4970","5067","5121","5132","5229","5416","5819",
"중구","35 - 39세","총인구수[명]","명","9880","10107","10411","10678","10460","9976","9498","9115","9306",
"중구","35 - 39세","남자인구수[명]","명","5065","5221","5334","5407","5263","5028","4750","4611","4693",
"중구","35 - 39세","여자인구수[명]","명","4815","4886","5077","5271","5197","4948","4748","4504","4613",
"중구","40 - 44세","총인구수[명]","명","10196","9552","9206","8784","8678","8735","8807","8801","9104",
"중구","40 - 44세","남자인구수[명]","명","5370","4929","4730","4559","4466","4531","4557","4514","4618",
"중구","40 - 44세","여자인구수[명]","명","4826","4623","4476","4225","4212","4204","4250","4287","4486",
"중구","45 - 49세","총인구수[명]","명","10240","10542","10595","10184","9813","9276","8572","7967","7665",
"중구","45 - 49세","남자인구수[명]","명","5386","5501","5483","5217","4942","4691","4341","4027","3926",
"중구","45 - 49세","여자인구수[명]","명","4854","5041","5112","4967","4871","4585","4231","3940","3739",
"중구","65 - 69세","총인구수[명]","명","6480","6399","6560","6620","7030","7500","8011","8184","8570",
"중구","65 - 69세","남자인구수[명]","명","3076","3113","3182","3220","3456","3665","3944","4057","4223",
"중구","65 - 69세","여자인구수[명]","명","3404","3286","3378","3400","3574","3835","4067","4127","4347",
"중구","70 - 74세","총인구수[명]","명","5483","5313","5294","5423","5671","5918","5628","5708","5766",
"중구","70 - 74세","남자인구수[명]","명","2502","2405","2412","2466","2582","2721","2649","2695","2710",
"중구","70 - 74세","여자인구수[명]","명","2981","2908","2882","2957","3089","3197","2979","3013","3056",
"중구","75 - 79세","총인구수[명]","명","3902","4127","4538","4641","4709","4815","4593","4553","4725",
"중구","75 - 79세","남자인구수[명]","명","1685","1752","1962","2038","2054","2118","1984","1950","2025",
"중구","75 - 79세","여자인구수[명]","명","2217","2375","2576","2603","2655","2697","2609","2603","2700",
"중구","80 - 84세","총인구수[명]","명","2306","2502","2611","2770","3037","3180","3284","3591","3669",
"중구","80 - 84세","남자인구수[명]","명","794","929","958","1050","1198","1275","1288","1466","1488",
"중구","80 - 84세","여자인구수[명]","명","1512","1573","1653","1720","1839","1905","1996","2125","2181",
"중구","85 - 89세","총인구수[명]","명","1170","1260","1313","1403","1505","1656","1683","1773","1892",
"중구","85 - 89세","남자인구수[명]","명","370","414","434","450","478","525","533","550","613",
"중구","85 - 89세","여자인구수[명]","명","800","846","879","953","1027","1131","1150","1223","1279",
