시도별_2018,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자
서울특별시 강서구_2018,1,26,1,1,"1,257","7,311",8,466,45,673,"1,214","14,875","9,079","37,641","7,317","52,138","5,900","21,475",830,"11,108",337,"3,996","2,088","7,464","1,256","23,116",686,"17,365",57,"3,474","1,844","14,257","1,582","19,576","1,227","3,851","3,795","9,391"
서울특별시 구로구_2018,1,1,1,1,"3,677","17,612",8,104,22,389,"1,009","12,033","12,100","40,438","4,891","9,160","4,664","15,178","2,108","30,068",498,"8,238","1,373","4,386","1,567","15,674",705,"25,341",46,"4,059","1,231","10,747","1,123","14,882",916,"2,617","2,613","7,142"
서울특별시 금천구_2018,2,8,0,0,"5,399","40,430",6,10,27,266,"1,132","17,882","9,091","40,952","2,818","9,064","3,350","11,033","2,625","37,711",228,"2,402","1,035","3,147","2,186","27,977",669,"20,454",33,"2,474",702,"6,307",685,"7,162",599,"1,541","1,885","5,192"
서울특별시 영등포구_2018,0,0,3,13,"3,957","13,577",11,781,21,438,"1,319","23,195","11,068","52,863","4,164","11,414","6,897","27,163","1,749","30,827","1,242","56,551","1,911","8,762","2,393","32,357","1,110","57,524",70,"9,922","1,260","8,754","1,208","17,253","1,139","4,149","3,067","12,014"
서울특별시 동작구_2018,0,0,0,0,614,"2,059",4,148,13,423,568,"7,529","4,564","14,773","2,136","3,124","4,141","13,130",222,"4,398",192,"3,642","1,279","5,825",428,"6,067",318,"10,746",43,"3,553","1,264","15,755","1,015","13,365",791,"2,761","2,324","5,266"
서울특별시 관악구_2018,0,0,0,0,"1,255","4,975",10,130,11,183,696,"7,805","4,991","15,166","4,218","6,515","5,561","17,541",288,"3,128",173,"1,857","1,422","4,010",606,"4,578",362,"6,276",48,"3,336","1,191","16,210","1,178","12,906","1,042","3,133","3,063","6,325"
서울특별시 서초구_2018,3,37,4,30,"1,075","5,431",13,150,17,281,"1,663","62,442","12,079","67,696","1,566","9,020","6,646","33,522","2,181","30,389",930,"18,539","3,281","14,381","6,713","67,657","1,273","56,487",65,"11,283","2,615","21,404","1,661","20,757","1,321","6,478","3,434","12,749"
서울특별시 강남구_2018,4,46,6,14,"1,626","14,296",39,"1,222",21,823,"1,931","49,157","16,697","136,778","3,105","11,236","10,730","58,366","4,483","58,879","1,940","34,738","5,779","29,039","9,090","107,675","2,008","83,062",56,"6,047","3,838","29,182","3,048","41,288","1,778","9,179","5,194","23,109"
서울특별시 송파구_2018,7,273,1,5,"1,520","9,200",10,31,27,593,"1,870","46,470","13,666","60,790","5,915","15,955","7,234","30,485",885,"27,034",540,"8,393","2,625","13,611","2,488","27,676",832,"29,731",69,"7,087","2,340","18,609","1,812","26,546","1,641","9,397","4,290","10,967"
서울특별시 강동구_2018,3,40,0,0,"1,400","5,191",2,89,16,522,"1,052","19,094","6,764","23,937","5,629","10,140","4,834","15,308",227,"1,758",263,"3,669","1,625","4,331",653,"7,012",468,"12,664",46,"2,934","1,490","10,844","1,253","18,619",939,"2,905","3,108","6,933"
