시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자,
강원특별자치도 화천군,33,163,0,0,141,478,259,328,18,155,384,"1,562",543,954,78,253,780,"1,307",19,106,21,134,44,96,40,130,36,74,28,"1,698",99,706,85,673,105,200,242,418,
강원특별자치도 양구군,30,188,4,27,159,598,538,562,18,96,385,"1,246",499,972,88,205,672,"1,305",14,64,22,146,43,86,42,154,50,156,25,"1,455",90,841,64,920,85,321,219,368,
강원특별자치도 인제군,48,219,3,20,240,911,496,543,25,237,618,"2,386",980,"1,791",130,212,"1,331","2,365",14,72,33,270,47,80,65,369,65,226,29,"1,326",127,"1,048",79,"1,989",144,542,306,515,
강원특별자치도 고성군,37,166,19,70,259,"1,230",252,287,14,183,514,"1,898",758,"1,291",164,272,"1,188","3,092",20,39,26,206,94,186,50,230,76,451,25,"1,223",97,920,71,"2,319",73,416,267,456,
강원특별자치도 양양군,41,119,11,115,247,"1,134",50,165,33,218,496,"1,424",959,"1,700",164,689,"1,614","3,459",24,84,29,216,126,257,68,247,99,287,28,"1,085",171,909,83,"1,948",136,416,333,604,
경상남도 창원시,52,205,12,57,"13,625","130,061",238,"1,063",212,"2,063","8,064","29,620","28,783","58,856","9,363","22,595","19,957","41,433",872,"5,063","1,193","13,797","4,504","11,366","3,190","15,980","2,849","21,030",225,"17,428","5,197","31,040","3,041","41,746","2,583","6,912","10,558","18,271",
경상남도 진주시,112,762,3,8,"3,152","15,522",307,912,68,841,"4,057","12,925","10,357","20,559","3,612","7,578","7,056","14,383",308,"1,925",446,"3,963","1,496","6,102","1,043","6,414",778,"2,757",92,"6,921","2,009","13,602","1,107","17,981","1,002","2,098","3,845","6,548",
경상남도 통영시,20,201,1,3,750,"4,179",57,387,41,391,914,"2,824","4,267","8,042",974,"2,145","3,818","7,021",71,343,186,"2,023",418,"1,006",284,985,301,"1,040",64,"2,940",579,"3,360",364,"5,053",341,922,"1,381","2,243",
경상남도 사천시,50,257,1,3,"1,191","18,194",287,425,55,508,"1,023","4,670","3,600","7,338",942,"2,070","2,578","5,596",55,407,107,970,427,884,215,824,229,792,47,"2,039",474,"2,824",365,"5,031",242,901,"1,258","2,176",
경상남도 김해시,48,330,13,163,"13,968","92,477",171,484,333,"2,391","4,853","14,533","15,911","33,523","5,402","10,425","9,225","20,016",347,"1,742",401,"4,247","2,695","4,739","1,455","5,736","1,449","5,154",70,"4,759","2,865","16,484","1,411","21,855","1,302","3,913","4,730","8,475",
