행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
대전광역시 서구_2018,11.0,14.0,12.0,10.0,17.0,22.0,26.0,25.0,748.0,123.0,62.0,7436.0,26789.0
대전광역시 유성구_2018,12.0,14.0,12.0,11.0,18.0,22.0,26.0,26.0,491.0,46.0,80.0,7192.0,23219.0
대전광역시 대덕구_2018,11.0,11.0,10.0,8.0,15.0,19.0,22.0,21.0,224.0,15.0,66.0,2452.0,9237.0
부산광역시 중구_2018,10.0,13.0,10.0,8.0,17.0,20.0,22.0,21.0,30.0,57.0,231.0,189.0,1364.0
부산광역시 서구_2018,13.0,12.0,11.0,10.0,25.0,19.0,26.0,24.0,108.0,5.0,66.0,1007.0,3756.0
부산광역시 동구_2018,12.0,13.0,11.0,9.0,18.0,20.0,23.0,22.0,44.0,25.0,91.0,756.0,2505.0
부산광역시 영도구_2018,11.0,12.0,8.0,9.0,16.0,19.0,22.0,22.0,73.0,2.0,84.0,925.0,4051.0
부산광역시 부산진구_2018,12.0,14.0,11.0,8.0,22.0,21.0,25.0,21.0,394.0,199.0,55.0,5057.0,15439.0
부산광역시 동래구_2018,12.0,16.0,13.0,12.0,20.0,23.0,26.0,28.0,503.0,51.0,44.0,3634.0,12547.0
부산광역시 남구_2018,12.0,15.0,12.0,10.0,21.0,22.0,25.0,24.0,299.0,51.0,66.0,2916.0,12330.0
부산광역시 북구_2018,12.0,13.0,11.0,11.0,20.0,21.0,25.0,27.0,373.0,34.0,64.0,4434.0,13114.0
부산광역시 해운대구_2018,12.0,16.0,13.0,13.0,21.0,23.0,26.0,30.0,640.0,33.0,55.0,4866.0,20170.0
부산광역시 사하구_2018,11.0,14.0,12.0,12.0,18.0,21.0,25.0,28.0,383.0,35.0,53.0,3996.0,14621.0
부산광역시 금정구_2018,11.0,15.0,12.0,10.0,21.0,21.0,25.0,25.0,340.0,54.0,49.0,2900.0,9916.0
부산광역시 강서구_2018,14.0,15.0,10.0,9.0,20.0,23.0,24.0,25.0,215.0,8.0,54.0,3383.0,8025.0
부산광역시 연제구_2018,12.0,16.0,11.0,9.0,21.0,23.0,24.0,25.0,258.0,42.0,53.0,1681.0,9498.0
부산광역시 수영구_2018,11.0,15.0,12.0,11.0,19.0,22.0,25.0,27.0,247.0,28.0,38.0,2038.0,6153.0
부산광역시 사상구_2018,11.0,13.0,10.0,11.0,19.0,20.0,23.0,25.0,147.0,28.0,83.0,3081.0,8349.0
부산광역시 기장군_2018,13.0,16.0,14.0,12.0,21.0,24.0,26.0,29.0,225.0,7.0,79.0,3498.0,10937.0
서울특별시 종로구_2018,12.0,12.0,9.0,11.0,19.0,19.0,23.0,27.0,100.0,174.0,74.0,1299.0,5507.0
서울특별시 중구_2018,11.0,13.0,7.0,11.0,15.0,21.0,17.0,27.0,57.0,62.0,127.0,1123.0,5226.0
서울특별시 용산구_2018,11.0,12.0,10.0,12.0,19.0,20.0,22.0,27.0,128.0,30.0,84.0,1574.0,7460.0
서울특별시 성동구_2018,12.0,12.0,11.0,10.0,21.0,20.0,22.0,22.0,268.0,46.0,70.0,2608.0,11922.0
서울특별시 광진구_2018,12.0,14.0,12.0,12.0,22.0,22.0,25.0,27.0,367.0,63.0,63.0,3050.0,15016.0
서울특별시 동대문구_2018,11.0,14.0,10.0,8.0,18.0,22.0,22.0,21.0,309.0,54.0,59.0,3162.0,13721.0
서울특별시 중랑구_2018,11.0,14.0,11.0,11.0,19.0,21.0,23.0,24.0,253.0,20.0,93.0,3192.0,15336.0
서울특별시 성북구_2018,11.0,15.0,13.0,11.0,19.0,23.0,25.0,27.0,425.0,39.0,68.0,4849.0,21564.0
서울특별시 강북구_2018,11.0,14.0,12.0,10.0,16.0,22.0,25.0,24.0,198.0,20.0,83.0,1692.0,10654.0
서울특별시 도봉구_2018,11.0,15.0,11.0,10.0,18.0,22.0,23.0,23.0,318.0,17.0,80.0,2686.0,15962.0
서울특별시 노원구_2018,12.0,14.0,12.0,11.0,18.0,22.0,24.0,25.0,700.0,47.0,63.0,6639.0,27558.0
서울특별시 은평구_2018,12.0,15.0,12.0,11.0,17.0,23.0,25.0,24.0,480.0,41.0,63.0,3939.0,22028.0
서울특별시 서대문구_2018,12.0,14.0,11.0,11.0,20.0,22.0,24.0,26.0,287.0,58.0,60.0,2614.0,13027.0
서울특별시 마포구_2018,12.0,14.0,12.0,11.0,19.0,22.0,24.0,26.0,461.0,183.0,47.0,2782.0,15432.0
서울특별시 양천구_2018,12.0,16.0,13.0,12.0,18.0,23.0,25.0,28.0,1027.0,35.0,41.0,4805.0,24481.0
서울특별시 강서구_2018,12.0,15.0,11.0,9.0,19.0,22.0,23.0,22.0,666.0,41.0,55.0,6023.0,26949.0
서울특별시 구로구_2018,12.0,14.0,12.0,12.0,20.0,22.0,24.0,28.0,366.0,61.0,82.0,3108.0,18820.0
서울특별시 금천구_2018,12.0,12.0,10.0,9.0,16.0,19.0,22.0,23.0,183.0,39.0,70.0,1716.0,8883.0
서울특별시 영등포구_2018,12.0,12.0,11.0,10.0,20.0,20.0,23.0,24.0,310.0,157.0,79.0,3707.0,13881.0
서울특별시 동작구_2018,12.0,14.0,12.0,11.0,18.0,23.0,24.0,25.0,349.0,109.0,70.0,3490.0,16366.0
서울특별시 관악구_2018,12.0,13.0,11.0,10.0,18.0,22.0,24.0,23.0,366.0,84.0,66.0,3830.0,15768.0
서울특별시 서초구_2018,12.0,16.0,12.0,12.0,20.0,26.0,26.0,28.0,868.0,262.0,43.0,2916.0,23182.0
서울특별시 강남구_2018,11.0,15.0,12.0,11.0,19.0,25.0,26.0,26.0,1768.0,495.0,23.0,4026.0,24858.0
서울특별시 송파구_2018,12.0,14.0,12.0,11.0,21.0,23.0,26.0,25.0,981.0,70.0,53.0,6074.0,31368.0
서울특별시 강동구_2018,14.0,14.0,11.0,10.0,21.0,23.0,23.0,21.0,600.0,38.0,48.0,4309.0,19831.0
울산광역시 중구_2018,14.0,16.0,11.0,11.0,19.0,23.0,26.0,26.0,417.0,42.0,51.0,3220.0,12371.0
울산광역시 남구_2018,14.0,16.0,12.0,12.0,21.0,23.0,26.0,28.0,986.0,105.0,33.0,4439.0,16401.0
울산광역시 동구_2018,15.0,16.0,11.0,10.0,20.0,23.0,24.0,26.0,265.0,11.0,60.0,2729.0,10353.0
