,행정구역,소멸위험지수,소멸위험등급
198,전라남도 화순군_2015,0.18003739074842318,B
199,전북특별자치도_2015,0.6041819014435723,C
200,전북특별자치도 고창군_2015,0.1689146238156742,B
201,전북특별자치도 군산시_2015,0.934026043452818,C
202,전북특별자치도 김제시_2015,0.07031722948911305,A
203,전북특별자치도 남원시_2015,0.20027203170062785,B
204,전북특별자치도 무주군_2015,0.08252515471501096,A
205,전북특별자치도 부안군_2015,0.08260066556152984,A
206,전북특별자치도 순창군_2015,0.136377081323048,A
207,전북특별자치도 완주군_2015,0.7913203947137987,C
208,전북특별자치도 익산시_2015,0.8224477568462696,C
209,전북특별자치도 임실군_2015,0.21914004599349818,B
210,전북특별자치도 장수군_2015,0.15720416850444716,A
211,전북특별자치도 전주시_2015,1.8243472398317206,D
212,전북특별자치도 정읍시_2015,0.18636967327858842,B
213,전북특별자치도 진안군_2015,0.05928680183277906,A
214,제주특별자치도_2015,1.356678256948242,D
215,제주특별자치도 서귀포시_2015,0.8317692020679924,C
216,제주특별자치도 제주시_2015,1.722251909989231,D
217,충청남도_2015,0.7861311297459856,C
218,충청남도 계룡시_2015,3.9124743234636066,D
219,충청남도 공주시_2015,0.19719213181041265,B
220,충청남도 금산군_2015,0.16644990224591197,B
221,충청남도 논산시_2015,0.29152972364653473,B
222,충청남도 당진시_2015,0.7440730053155037,C
223,충청남도 보령시_2015,0.3627010901359951,B
224,충청남도 부여군_2015,0.104862602057986,A
225,충청남도 서산시_2015,0.8510037242212019,C
226,충청남도 서천군_2015,0.03096910701057827,A
227,충청남도 아산시_2015,1.9529343361561833,D
228,충청남도 예산군_2015,0.03714006360453845,A
229,충청남도 천안시_2015,3.6644197108030894,D
230,충청남도 청양군_2015,0.24168423264481126,B
231,충청남도 태안군_2015,0.32964576681335217,B
232,충청남도 홍성군_2015,0.5882767312581592,C
233,충청북도_2015,0.9868032163523649,C
234,충청북도 괴산군_2015,0.2500175067927711,B
235,충청북도 단양군_2015,0.169283165206637,B
236,충청북도 보은군_2015,0.19287738495559287,B
237,충청북도 영동군_2015,0.20592824520818992,B
238,충청북도 옥천군_2015,0.2485872963971352,B
239,충청북도 음성군_2015,0.6625011710996592,C
240,충청북도 제천시_2015,0.5849952663949483,C
241,충청북도 증평군_2015,1.4373833198513473,D
242,충청북도 진천군_2015,0.9818034501768189,C
243,충청북도 청주시_2015,2.3329718516471902,D
244,충청북도 충주시_2015,0.713414573781605,C
245,강원특별자치도_2016,0.6353563734638539,C
246,강원특별자치도 강릉시_2016,0.596853875139251,C
247,강원특별자치도 고성군_2016,0.22877412937536576,B
248,강원특별자치도 동해시_2016,0.6524257318216993,C
249,강원특별자치도 삼척시_2016,0.22441035907951734,B
250,강원특별자치도 속초시_2016,0.7975680808159028,C
251,강원특별자치도 양구군_2016,0.4528629270089078,B
252,강원특별자치도 양양군_2016,0.13201305499857605,A
253,강원특별자치도 영월군_2016,0.1930522427649032,B
254,강원특별자치도 원주시_2016,1.6260416055660072,D
255,강원특별자치도 인제군_2016,0.33090581002857256,B
256,강원특별자치도 정선군_2016,0.1373675096895921,A
257,강원특별자치도 철원군_2016,0.24985066989325858,B
258,강원특별자치도 춘천시_2016,1.0868765076610252,C
259,강원특별자치도 태백시_2016,0.3429137868638426,B
260,강원특별자치도 평창군_2016,0.2435617914582036,B
261,강원특별자치도 홍천군_2016,0.2934358759420431,B
262,강원특별자치도 화천군_2016,0.20025406508343951,B
263,강원특별자치도 횡성군_2016,0.277018174361137,B
264,경기도_2016,2.4020680504148637,D
265,경기도 가평군_2016,0.37922540219745665,B
266,경기도 고양시_2016,2.4494756744039314,D
267,경기도 과천시_2016,1.3896326257478533,D
268,경기도 광명시_2016,2.2098830637726374,D
269,경기도 광주시_2016,2.4977109437361125,D
270,경기도 구리시_2016,2.701054938586899,D
271,경기도 군포시_2016,2.694367104529654,D
272,경기도 김포시_2016,2.2987883320718407,D
273,경기도 남양주시_2016,2.0875892479536597,D
274,경기도 동두천시_2016,0.766416663909435,C
275,경기도 부천시_2016,2.6933501232449357,D
276,경기도 성남시_2016,2.28763718901751,D
277,경기도 수원시_2016,4.04339574942411,D
278,경기도 시흥시_2016,4.5256979113949285,D
279,경기도 안산시_2016,4.1614196558306,D
280,경기도 안성시_2016,1.0794436140671269,C
281,경기도 안양시_2016,2.6240291818106054,D
282,경기도 양주시_2016,1.3835495788453673,D
283,경기도 양평군_2016,0.5325897120146721,B
284,경기도 여주시_2016,0.6195251419151536,C
285,경기도 연천군_2016,0.29207802229842345,B
286,경기도 오산시_2016,5.020793537914268,D
287,경기도 용인시_2016,2.5185053847074026,D
288,경기도 의왕시_2016,2.1986749564479373,D
289,경기도 의정부시_2016,1.693619701351901,D
290,경기도 이천시_2016,1.8332022307541436,D
291,경기도 파주시_2016,1.8035430165782544,D
292,경기도 평택시_2016,2.086489717417375,D
293,경기도 포천시_2016,0.7052181077233276,C
294,경기도 하남시_2016,2.9217676370163383,D
295,경기도 화성시_2016,4.472124456855936,D
296,경상남도_2016,1.0404057025350442,C
297,경상남도 거제시_2016,3.7152058878532244,D
298,경상남도 거창군_2016,0.28229414946809067,B
299,경상남도 고성군_2016,0.10267275497005046,A
300,경상남도 김해시_2016,3.279388941775714,D
301,경상남도 남해군_2016,0.0200422301962149,A
302,경상남도 밀양시_2016,0.2950465193058388,B
303,경상남도 사천시_2016,0.41946869980105267,B
304,경상남도 산청군_2016,0.16156323408867646,B
305,경상남도 양산시_2016,2.3665678382538804,D
306,경상남도 의령군_2016,0.020009720135204023,A
307,경상남도 진주시_2016,1.1393448999846345,C
308,경상남도 창녕군_2016,0.20838636322890897,B
309,경상남도 창원시_2016,1.9281212407931658,D
310,경상남도 통영시_2016,0.7515314536389724,C
311,경상남도 하동군_2016,0.07024402887336945,A
312,경상남도 함안군_2016,0.3444603273814777,B
313,경상남도 함양군_2016,0.15710741884573215,A
314,경상남도 합천군_2016,0.0,A
315,경상북도_2016,0.5226298874680289,B
316,경상북도 경산시_2016,1.1376602950110448,C
317,경상북도 경주시_2016,0.4776959130936539,B
318,경상북도 고령군_2016,0.09379884089098892,A
319,경상북도 구미시_2016,5.216373757052696,D
320,경상북도 김천시_2016,0.5032829843800948,B
321,경상북도 문경시_2016,0.087679006893148,A
322,경상북도 봉화군_2016,0.06385859601125415,A
323,경상북도 상주시_2016,0.15358936825043804,A
324,경상북도 성주군_2016,0.20824277622290882,B
325,경상북도 안동시_2016,0.37865051642512926,B
326,경상북도 영덕군_2016,0.13225521957806868,A
327,경상북도 영양군_2016,0.04349217150269284,A
328,경상북도 영주시_2016,0.26368849412837686,B
329,경상북도 영천시_2016,0.22462631869778565,B
330,경상북도 예천군_2016,0.4541763227284371,B
331,경상북도 울릉군_2016,0.16500048401781817,B
332,경상북도 울진군_2016,0.2117253490381413,B
333,경상북도 의성군_2016,0.07118687939223942,A
334,경상북도 청도군_2016,0.12217635063339331,A
335,경상북도 청송군_2016,0.11749080199160933,A
336,경상북도 칠곡군_2016,1.4525831176160264,D
337,경상북도 포항시_2016,1.1320089752048066,C
338,광주광역시_2016,1.9395831233774143,D
339,광주광역시 광산구_2016,4.713492985396646,D
340,광주광역시 남구_2016,1.1024215009629632,C
341,광주광역시 동구_2016,0.29969866094865355,B
342,광주광역시 북구_2016,1.6707133234916998,D
343,광주광역시 서구_2016,2.317246854388829,D
344,대구광역시_2016,1.341888854393351,D
345,대구광역시 군위군_2016,0.17810204772586782,B
346,대구광역시 남구_2016,0.36994574682972486,B
347,대구광역시 달서구_2016,2.1788123173536293,D
348,대구광역시 달성군_2016,2.5509058268237075,D
349,대구광역시 동구_2016,0.8346708629611764,C
350,대구광역시 북구_2016,1.8252474460578534,D
351,대구광역시 서구_2016,0.4037257304027738,B
352,대구광역시 수성구_2016,1.5829943912231004,D
353,대구광역시 중구_2016,0.47660392780122124,B
354,대전광역시_2016,2.055160954778948,D
