,행정구역,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수,종합병원,병원,의원,치과병(의)원,한방병원,한의원,인구 천명당 의료기관병상수(개),총병상수 (개),하수도보급률,상수도보급률,출생아수,합계출산율,남녀성비,인구증가율,주민등록인구,가구수,일반공공행정예산비중,소멸위험지수,소멸위험등급
936,경기도 여주시_2019,10,11,9,8,12,18,24,20,103,8,80,1066,5428,0,4,48,33,0,27,18.2,2025.0,84.1,89.5,591,1.083,103.2,-0.36,111083,44009,14.8,0.3530746223869869,B
937,경기도 양평군_2019,8,12,8,8,11,19,22,20,87,4,80,560,5251,0,2,41,29,1,32,10.9,1269.0,79.3,79.4,530,1.024,100.7,0.6,116874,46539,7.3,0.2999963748419612,B
938,경기도 의정부시_2019,12,16,13,10,16,25,28,24,671,47,60,4929,22730,4,13,273,145,3,95,12.3,5568.0,98.9,99.3,2418,0.847,97.1,1.16,451868,172232,5.4,1.205636292112451,C
939,경기도 동두천시_2019,10,15,11,9,10,22,23,20,90,8,71,654,5014,0,1,41,26,0,18,25.1,2381.0,98.9,98.5,426,0.854,99.7,-1.33,94768,38390,14.8,0.3723764739038798,B
940,경기도 고양시_2019,12,16,13,10,15,25,28,25,1864,136,55,13049,54934,6,24,546,311,3,277,11.8,12596.0,92.7,99.7,5538,0.802,96.2,2.08,1066351,390836,7.1,1.7318781743006526,D
941,경기도 구리시_2019,11,16,13,10,18,24,28,25,365,21,53,2171,10213,1,9,146,93,0,66,13.0,2597.0,99.6,99.9,1176,0.872,98.7,-2.06,199265,72624,8.1,1.3824205128276177,D
942,경기도 남양주시_2019,12,17,13,11,16,25,28,26,942,30,78,9895,44661,3,12,305,194,0,139,8.6,6063.0,96.6,97.2,3855,0.908,99.3,2.95,701830,246337,7.4,1.5903693495883289,D
943,경기도 파주시_2019,13,16,14,11,16,23,30,26,575,34,84,7309,29748,1,11,183,114,1,85,10.4,4705.0,93.9,99.1,3077,1.05,103.1,0.54,454040,167957,18.5,1.308991438782506,C
944,경기도 양주시_2019,11,15,14,12,12,22,28,30,246,11,96,2703,13531,0,5,80,47,0,30,12.5,2787.0,93.1,98.1,1256,1.03,103.0,2.47,222314,83851,8.3,1.115892285776265,C
945,경기도 포천시_2019,9,11,9,9,9,18,22,21,123,9,100,986,6727,2,2,62,36,0,24,11.6,1728.0,84.9,89.8,617,0.889,111.5,-1.12,148379,62275,31.5,0.31628659990363,B
946,경기도 연천군_2019,11,8,6,8,14,13,19,19,35,1,99,426,1739,0,0,13,11,0,7,7.6,333.0,88.9,98.0,275,1.413,110.1,-1.68,43824,18043,13.8,0.0453977275365505,A
947,경기도 가평군_2019,8,10,10,8,9,16,22,21,51,4,99,280,2583,0,3,26,20,1,16,13.2,821.0,81.2,81.7,261,0.971,105.5,-0.74,62415,25361,10.1,0.1623696087978197,B
948,강원특별자치도 춘천시_2019,10,14,11,11,18,21,24,27,389,32,64,3141,15001,2,8,8,162,82,0,14.9,4184.0,95.3,97.3,1675,1.017,97.3,0.2,281291,115187,8.1,0.7297405486199458,C
949,강원특별자치도 원주시_2019,12,14,11,12,18,21,24,27,546,50,58,4722,19972,2,15,15,198,97,1,13.8,4815.0,91.1,95.5,2146,1.03,98.7,1.57,349215,143720,5.0,1.162897264176066,C
950,강원특별자치도 강릉시_2019,10,12,12,9,17,19,25,23,364,41,49,1786,10110,4,2,2,116,57,0,12.7,2716.0,91.8,95.8,964,0.959,98.5,0.31,213442,93078,4.5,0.4514267613723639,B
951,강원특별자치도 동해시_2019,11,14,11,10,14,22,21,23,127,18,69,1088,5019,1,3,3,48,0,0,15.9,1441.0,98.4,99.6,422,1.046,102.6,-0.74,90522,36613,5.6,0.3843589971055685,B
952,강원특별자치도 태백시_2019,7,10,8,9,11,15,22,23,47,4,87,271,2261,1,1,1,23,9,0,13.1,576.0,81.1,98.0,176,1.006,102.2,-2.19,43866,18640,17.1,0.0712389729620145,A
953,강원특별자치도 속초시_2019,10,14,12,11,16,20,24,26,116,10,73,586,3901,2,0,0,64,31,0,10.6,871.0,99.5,99.6,414,1.046,97.7,0.16,81786,34550,8.2,0.5282239914244283,B
954,강원특별자치도 삼척시_2019,12,9,6,7,17,15,16,18,62,6,79,757,2792,1,1,1,27,12,0,6.1,407.0,89.4,91.2,366,1.344,102.6,-1.61,67228,29615,4.5,0.1207027777866106,A
955,강원특별자치도 홍천군_2019,7,7,7,10,11,11,17,24,75,4,72,557,2846,1,1,1,29,16,0,10.4,719.0,78.7,75.1,308,1.125,104.6,-1.17,69150,28728,5.7,0.1116804920118749,A
956,강원특별자치도 횡성군_2019,8,7,5,7,12,12,13,19,45,0,68,246,1684,0,1,1,13,7,0,3.9,180.0,67.7,81.8,179,1.053,104.4,-0.18,46575,19162,13.3,0.1544288793814812,A
957,강원특별자치도 영월군_2019,7,6,4,5,10,11,11,18,34,0,66,270,1323,1,1,1,12,6,0,8.8,345.0,76.1,77.3,121,0.92,106.1,-1.48,39127,16730,12.2,0.0385224113801121,A
958,강원특별자치도 평창군_2019,6,6,6,7,10,11,17,18,35,1,87,244,1595,0,0,0,17,13,0,4.7,196.0,77.9,81.9,144,0.944,104.8,-1.03,42106,17963,5.9,0.0601508772688369,A
959,강원특별자치도 정선군_2019,7,6,6,5,12,11,16,15,25,0,107,295,1466,0,2,2,9,5,0,5.8,217.0,88.8,81.4,154,1.112,108.1,-1.03,37271,15707,7.8,0.0775473463613392,A
960,강원특별자치도 철원군_2019,8,8,9,9,13,14,21,23,49,3,87,303,2109,0,1,1,18,8,0,7.7,352.0,84.6,89.0,349,1.652,108.9,-1.79,45584,17090,6.0,0.1301877386732292,A
961,강원특별자치도 화천군_2019,9,6,7,6,13,10,17,17,18,0,106,268,1078,0,0,0,9,5,0,1.9,47.0,70.6,68.3,195,1.565,118.1,-0.64,24917,9826,21.8,0.2125589724848964,B
962,강원특별자치도 양구군_2019,8,7,5,8,12,11,15,22,23,0,89,150,1090,0,2,2,5,5,0,7.4,168.0,85.8,81.3,171,1.473,113.1,-2.59,22764,8612,5.9,0.1308160756783957,A
963,강원특별자치도 인제군_2019,7,7,6,6,10,12,18,18,28,0,97,322,1500,0,1,1,5,5,0,4.4,138.0,75.7,85.4,255,1.642,118.0,-1.46,31672,12459,12.3,0.2155984488172874,B
964,강원특별자치도 고성군_2019,8,5,6,5,13,9,16,16,13,0,118,169,929,0,0,0,7,5,0,0.0,0.0,88.2,86.1,127,1.248,107.4,-2.49,27260,11292,7.5,0.0,A
965,강원특별자치도 양양군_2019,6,6,6,8,11,9,16,20,18,1,104,213,941,0,0,0,6,4,0,0.0,0.0,79.8,92.1,117,1.182,103.5,1.37,27726,12049,20.2,0.2737217305557659,B
966,경상남도 창원시_2019,12,15,11,10,18,22,25,23,1756,166,53,16521,59495,11,36,567,327,3,287,18.8,19626.0,96.6,98.6,6249,1.009,102.7,-0.86,1044740,409391,4.7,1.0883632961019685,C
