행정구역(시군구)별,2015,2016,2017,2018,2019,2020,2021,2022,2023
부산광역시 중구,-0.12526004687384537,-0.07305569609448424,-0.12390330949554697,-0.20598365018768966,-0.09658845399668275,-0.014965134551271037,0.021213581691629277,-0.05336698751500095,-0.13552245901299084
부산광역시 서구,-0.11265737956845934,-0.18057878237580216,-0.1668880327834332,0.0703795096420711,-0.1324122685621281,0.03683947734308642,-0.06538098117054923,0.08956372390381447,-0.020826181656876802
부산광역시 동구,-0.16596755181009415,-0.1678149074028159,-0.0418764346587334,-0.12627812112176795,0.1364472579270854,0.08653969475993521,-0.011293639351861777,-0.005696499605442583,0.15574446440608747
부산광역시 영도구,-0.16099440984957983,-0.1889608057203887,-0.1730254438326646,-0.22753118222789043,-0.23771575817330043,-0.2121394719453986,-0.038880311341844304,-0.10134892124299939,-0.05794780037782094
부산광역시 부산진구,-0.09533885574344275,-0.1035313468888942,-0.08452026998480004,-0.18387500604373852,-0.07860210111703969,0.05185743553284522,-0.0702897009677109,0.09448043284877816,0.09988319281508877
부산광역시 동래구,-0.08640966947702954,-0.015212798621776704,-0.055216539156422204,-0.11579256828714102,0.13276963361039332,-0.006062995298855383,-0.07494184825850438,0.21088132989431901,-0.05605284600431891
부산광역시 남구,-0.10817059515115626,-0.12824198340520618,-0.14905251620830434,0.14938619248914278,-0.13203582865437,-0.14735362443917044,-0.11578596851658117,-0.13408351659037565,-0.029772804328293583
부산광역시 북구,0.05756260515584973,-0.03248018679512687,-0.22631065255453073,-0.20551565321099632,-0.18509339574710518,-0.20364822958849638,0.00979713924498326,-0.12414454757990113,-0.18762416287858893
부산광역시 해운대구,-0.029160064117848845,-0.06855284237023342,-0.160579301030615,-0.05047260117944766,-0.06210655214152869,-0.0592453301159653,-0.07632233116101264,-0.17493068598678202,-0.12648127740403534
부산광역시 사하구,-0.15399381393450656,-0.09635537581499082,-0.03238190629389511,-0.15232051258512003,-0.184262186934686,-0.2253947064328365,-0.09595123226715502,-0.06809574686567683,-0.09757494990623217
부산광역시 금정구,-0.1095477235024695,-0.038529807175370016,0.003229234627215066,-0.030956073448663475,-0.11536839604458587,-0.15241602736483292,-0.08391372225000468,-0.19477858177927,-0.19243003894355346
부산광역시 강서구,0.805419155659425,0.7075487647948895,0.39569934002520696,0.24832185852253602,0.279559896062173,0.30968578106542227,0.22819183056797684,-0.009463046722750315,-0.07480877533970631
부산광역시 연제구,0.024311518055987403,-0.13227821143919646,-0.020520356324590004,0.03880215185647981,0.05383393336064391,0.0005379718591147652,-0.02852808361453805,-0.109842938220725,0.11587593671260264
부산광역시 수영구,0.026064958770263512,-0.028720441939961983,0.019568405674084886,-0.13546997806471286,0.00488273389920463,0.03468555798789011,-0.030117238674969952,0.021296893841498545,0.015508096214570225
부산광역시 사상구,-0.22031798639932473,-0.20762570228820085,-0.14191295437995738,-0.24811974497774175,-0.22656472560113572,-0.20737832083832106,-0.131116126978941,-0.14557285228423822,0.0065377765094910755
부산광역시 기장군,0.3442212823776291,0.2224554685305321,0.13061784831892465,0.16159146415603323,-0.026227017035104137,0.3514252676167447,0.1358081005738308,0.09116870776608323,0.027953866874875517
