,행정구역,2015,2016,2017,2018,2019,2020,2021
54,경상남도 고성군,0.107733702321091,0.10267275497005046,0.08602905882129089,0.0433020402575935,-0.016424998431390336,-0.014115153976429526,0.028091877738892712
55,경상남도 김해시,3.685819424678916,3.279388941775714,2.849356559119711,2.4892190438619433,2.2613509064995,1.7572084466083582,1.4054465633120647
56,경상남도 남해군,0.0026085997831196,0.0200422301962149,0.08033840551578028,0.0406337032199761,0.10826745741883323,0.024453853790776043,0.0426918341066852
57,경상남도 밀양시,0.28808687398695415,0.2950465193058388,0.1876449524427856,0.1261126921252393,0.08972068571826661,0.1215132494527501,0.08332623201885911
58,경상남도 사천시,0.4363687645105516,0.41946869980105267,0.38478434636542486,0.379220532695994,0.212426756169932,0.2504117728997688,0.21528345269947002
59,경상남도 산청군,0.197995749679711,0.16156323408867646,0.2161929658243594,0.05317499588775281,-0.007047552503220554,0.009268299644970529,0.05363542253997641
60,경상남도 양산시,2.4090986449213725,2.3665678382538804,2.26414259124258,1.8740498348635595,1.4254629406174584,1.1581358456641753,1.0123034546810674
61,경상남도 의령군,-0.060391964270222254,0.020009720135204023,0.06691458986966434,0.10361862119716314,-0.014448507208832818,0.028877254685251652,0.029930056984911635
62,경상남도 진주시,1.2505832921398297,1.1393448999846345,0.9691263921722851,0.858507799583256,0.7988839385109329,0.6855879037659759,0.5842355450341794
63,경상남도 창녕군,0.25416446784723246,0.20838636322890897,0.18755437347707365,0.07308060290455257,0.0033686237883817777,0.012030971725594017,0.00609430856520856
64,경상남도 창원시,2.2368250666408382,1.9281212407931658,1.597886775575458,1.3779549038082333,1.0883632961019685,0.8770417110420186,0.7531439497339932
65,경상남도 통영시,0.8814825132934564,0.7515314536389724,0.5307562664357527,0.47783361810809055,0.3566142468533013,0.21282563508445695,0.15880172656831226
66,경상남도 하동군,0.33982461392881486,0.07024402887336945,0.036967208686410076,-0.09546494700073596,-0.043258414832263586,-0.23599963768899543,-0.14401329797931808
67,경상남도 함안군,0.4414867582719849,0.3444603273814777,0.23830524041529813,0.1419105705540029,0.06151963193389112,0.010901212556798823,-0.020687520371615503
68,경상남도 함양군,0.10991646733482939,0.15710741884573215,0.17953948622290733,0.1530713666417872,0.06986775658877406,0.03156454788480134,0.007303593090895857
69,경상남도 합천군,-0.07715147532370431,-0.06910929055305834,-0.0520316351855153,-0.07219008863929308,0.003575789235648427,-0.11437118681721457,-0.04019758985788928
70,경상북도,0.5790213774239135,0.5226298874680289,0.4481838211060118,0.38005948615189916,0.342663397576154,0.24971804477007553,0.27485736621383117
71,경상북도 경산시,1.2962890492808394,1.1376602950110448,1.017292968081094,0.9220093261194598,0.8390586141487374,0.6958885414689487,0.7222568830603164
72,경상북도 경주시,0.4797385942786771,0.4776959130936539,0.37775307438870187,0.35585450666239415,0.29340108701954876,0.23131941415652366,0.23146395695360536
73,경상북도 고령군,0.07006944631241786,0.09379884089098892,0.039189382223405386,-0.06202190822038661,-0.03705733219496257,-0.14006400970972172,-0.051885485804658314
74,경상북도 구미시,5.847614630678478,5.216373757052696,4.49992221359479,3.8267704530983493,3.186939644922659,2.5933412187245377,2.1459667202695387
75,경상북도 김천시,0.6257131218810944,0.5032829843800948,0.41405762245030603,0.22838189958751354,0.3148524809595508,0.23556710596400346,0.24817784140118113
76,경상북도 문경시,0.21379691578837362,0.087679006893148,0.021167821614539478,0.014225062809779254,0.22024358145992418,0.06778131833175333,0.12309657369738877
77,경상북도 봉화군,0.09901899210982136,0.06385859601125415,0.05531724875516074,0.02559141829561993,-0.09524489129700114,-0.06928464381495328,-0.055395582257655424
78,경상북도 상주시,0.1533124034436744,0.15358936825043804,0.11899174212485089,0.12504586758961675,0.1988342646294701,-0.13057152332119887,0.03862489446614397
79,경상북도 성주군,0.1907526008582882,0.20824277622290882,0.15045215707025086,0.059203756732712456,0.0017198708318869466,0.007300537065480027,0.0408327865945844
80,경상북도 안동시,0.4438218622772092,0.37865051642512926,0.24043019951667416,0.13143975613602846,0.16801205412533088,0.20704599134568374,0.16020388541952596
81,경상북도 영덕군,0.047761438176384535,0.13225521957806868,0.012900513799085404,0.05245022246861431,-0.07541941263712142,-0.15122025302506292,-0.09436035805382971
82,경상북도 영양군,-0.010213306717335474,0.04349217150269284,-0.009306063084821264,0.08211162666990915,-0.07268501759762924,-0.03849416114156187,-0.007943683711098881
83,경상북도 영주시,0.2391633257051284,0.26368849412837686,0.20759532317528626,0.10950594533331211,0.06992303875459395,0.03242629690006926,0.11241541225466126
84,경상북도 영천시,0.2377582938001661,0.22462631869778565,0.22831230185103468,0.27713286378848956,0.23294784376093125,0.1310883295346673,0.16099551573839113
85,경상북도 예천군,0.02891125359759647,0.4541763227284371,0.663674487804444,0.6985359550193506,0.439487692280797,0.23377214071019042,0.2111344868540043
86,경상북도 울릉군,0.2279141704889121,0.16500048401781817,0.22741268106129417,0.1254044120811401,0.038007829620179026,-0.22247190039974332,0.044732421624807214
87,경상북도 울진군,0.19389122489301386,0.2117253490381413,0.07930825992342191,0.02239215770530964,0.0511287233948384,0.07695841293366167,0.03780455694737467
88,경상북도 의성군,0.013627236879474702,0.07118687939223942,0.07127639610889905,0.07340135965158859,0.08915577834715593,-0.01623450865791539,0.004736952245876766
89,경상북도 청도군,0.10787894437014828,0.12217635063339331,0.11058694304366393,0.09379204076825205,0.11786407039603092,0.012965599735132397,0.09786194862619015
90,경상북도 청송군,0.1283754729779099,0.11749080199160933,0.037283878413834626,0.023622773140195716,0.0283429348935011,0.014006798492312816,-0.0356915561194818
91,경상북도 칠곡군,1.5566164149400403,1.4525831176160264,1.0303062677593067,0.868661084685236,0.7164908590997773,0.541886293602923,0.5699298001687898
92,경상북도 포항시,1.3590305506258058,1.1320089752048066,0.9307264516831153,0.7682366071454066,0.6433364804849665,0.4981826032661075,0.5135064909048204
93,광주광역시,2.1464364438562487,1.9395831233774143,1.6910559789570083,1.5200861592773147,1.3519555735036821,1.1546786645662601,1.0217761315324894
94,광주광역시 광산구,5.058368083251393,4.713492985396646,4.226559519911322,3.7804853233585667,3.409302216502185,2.9864555926870406,2.6323484080311546
95,광주광역시 남구,1.3522928600314068,1.1024215009629632,0.9682036175502026,0.8391591024770746,0.8696639400759698,0.5984498528292941,0.6970187619334206
96,광주광역시 동구,0.40649057475097794,0.29969866094865355,0.42785612173195486,0.36446377216490583,0.6309975018149118,0.6480477756893636,0.46650731997687894
97,광주광역시 북구,2.0037487375010583,1.6707133234916998,1.4753483587071436,1.3669429607465786,1.052344650166384,0.9383797070758659,0.8112505778970264
98,광주광역시 서구,2.31007050794567,2.317246854388829,1.8656528682374716,1.6226936703172727,1.3832420707181132,1.122006627160614,0.9352923998612532
99,대구광역시,1.4906695781836845,1.341888854393351,1.1333744976838174,0.9729545021974806,0.7993474952915096,0.6902006603690929,0.5539756629853984
100,대구광역시 군위군,0.13666452552703914,0.17810204772586782,0.17209639044229014,0.044172833792469605,0.11189238816247161,-0.10732188408899879,0.06128971799113991
101,대구광역시 남구,0.5260261522404586,0.36994574682972486,0.32494033570075354,0.3328203467890458,0.29098817868377247,0.30252748087515324,0.21113458080525213
102,대구광역시 달서구,2.680683813542956,2.1788123173536293,1.667763757662272,1.4979074603291205,1.2224750973466771,0.9196315258133326,0.6415715135271493
103,대구광역시 달성군,2.003096156218731,2.5509058268237075,2.5624691041367695,1.9105572996275713,1.6927076488014867,1.356310998426071,1.1974891906285827
